state,afr_ancs,eur_ancs,ami_ancs,region_ori
Veracruz,0.031649,0.214251,0.74998,center
Nuevo León,0.043687,0.289764,0.659244,north
Nuevo León,0.021139,0.583082,0.387846,north
Coahuila,0.051479,0.724323,0.222236,north
Nuevo León,0.039749,0.389867,0.558928,north
Nuevo León,0.033083,0.695854,0.271043,north
Nuevo León,0.026714,0.431094,0.535074,north
Nuevo León,0.065265,0.34185,0.592865,north
Nuevo León,0.045093,0.322527,0.624712,north
Nuevo León,0.043086,0.598813,0.3542,north
Nuevo León,0.047276,0.330814,0.602803,north
Tamaulipas,0.045354,0.315643,0.631277,north
Nuevo León,0.030143,0.307784,0.653181,north
Nuevo León,0.049029,0.30301,0.638431,north
Nuevo León,0.047163,0.371092,0.574318,north
Nuevo León,0.084478,0.425879,0.484026,north
Oaxaca,0.009108,0.066799,0.915643,south
Tamaulipas,0.042135,0.222725,0.724018,north
Nuevo León,0.059879,0.287817,0.64357,north
Hidalgo,0.005256,0.104477,0.888905,center
San Luis Potosí,0.029353,0.355028,0.615599,north
Nuevo León,0.066388,0.430252,0.502644,north
Nuevo León,0.054064,0.422865,0.518594,north
Distrito Federal,0.039257,0.238706,0.705104,center
Nuevo León,0.062152,0.262329,0.666617,north
Nuevo León,0.053547,0.580031,0.366392,north
Nuevo León,0.028597,0.241928,0.726578,north
Nuevo León,0.080389,0.346062,0.573529,north
San Luis Potosí,0.059401,0.371718,0.567209,north
Nuevo León,0.037375,0.300585,0.661163,north
Nuevo León,0.052779,0.350362,0.574846,north
Nuevo León,0.027447,0.297755,0.674779,north
Nuevo León,0.047021,0.302989,0.644639,north
Nuevo León,0.079021,0.331549,0.576567,north
Nuevo León,0.055227,0.320774,0.613647,north
Zacatecas,0.048792,0.362745,0.569287,north
Nuevo León,0.062984,0.50804,0.428699,north
Nuevo León,1e-5,0.104081,0.893689,north
Tamaulipas,0.040255,0.220562,0.733427,north
Nuevo León,0.05128,0.362637,0.575825,north
Nuevo León,0.062953,0.362418,0.568062,north
Veracruz,0.022591,0.433687,0.532645,center
Tamaulipas,0.054494,0.509126,0.436357,north
Guanajuato,0.064548,0.302201,0.620196,center
San Luis Potosí,0.042359,0.31462,0.631562,north
Tamaulipas,0.095728,0.480426,0.421794,north
Nuevo León,0.042024,0.303992,0.637211,north
Nuevo León,0.067802,0.36453,0.567511,north
Zacatecas,0.057164,0.313418,0.617726,north
Querétaro,0.057086,0.289266,0.643765,center
Nuevo León,0.045858,0.473635,0.473684,north
Nuevo León,0.035176,0.39319,0.561546,north
Nuevo León,0.056024,0.245275,0.682346,north
Nuevo León,0.047077,0.29303,0.652608,north
Nuevo León,0.03649,0.400805,0.562685,north
Nuevo León,0.068424,0.239811,0.691745,north
Tamaulipas,0.04382,0.399793,0.548612,north
Coahuila,0.06157,0.450349,0.483483,north
Nuevo León,0.041247,0.349648,0.607347,north
Nuevo León,0.063936,0.356363,0.567795,north
Nuevo León,0.069145,0.348557,0.56506,north
Nuevo León,0.032945,0.260805,0.694235,north
Puebla,0.002607,0.026586,0.961391,center
Coahuila,0.063885,0.365576,0.568962,north
Nuevo León,0.08536,0.468897,0.445723,north
San Luis Potosí,0.046116,0.32698,0.617629,north
Nuevo León,0.060122,0.453961,0.480308,north
México,0.047075,0.320148,0.621875,center
Nuevo León,0.052404,0.334157,0.585176,north
Nuevo León,0.072867,0.364269,0.547636,north
Nuevo León,0.045898,0.276054,0.678028,north
San Luis Potosí,0.038627,0.294966,0.659016,north
Nuevo León,0.039058,0.47166400000000003,0.478516,north
Coahuila,0.066354,0.319496,0.610972,north
Nuevo León,0.065333,0.262831,0.644821,north
Nuevo León,0.041908,0.27463,0.674896,north
Nuevo León,0.03764,0.201062,0.748568,north
Sinaloa,0.062012,0.371839,0.547482,north
Nuevo León,0.034818,0.382506,0.571176,north
Nuevo León,0.051395,0.221899,0.70855,north
Nuevo León,0.066858,0.461533,0.471589,north
Nuevo León,0.046877,0.424222,0.515898,north
Nuevo León,0.061521,0.380784,0.548275,north
Nuevo León,0.097152,0.269278,0.629382,north
Tabasco,0.002771,0.014546,0.979983,south
Veracruz,1e-5,1e-5,0.99996,center
Coahuila,0.075679,0.321312,0.60071,north
San Luis Potosí,0.00566,0.215109,0.77441,north
Zacatecas,0.027713,0.52762,0.43445,north
Nuevo León,0.073438,0.323265,0.603277,north
Michoacán,0.064637,0.378518,0.556825,center
Nuevo León,0.037723,0.223039,0.71783,north
Nuevo León,0.065195,0.266053,0.6599,north
San Luis Potosí,0.055953,0.262103,0.672492,north
Veracruz,0.014647,0.009255,0.968376,center
Nuevo León,0.055112,0.394704,0.540409,north
Nuevo León,0.050146,0.244722,0.695059,north
Nuevo León,0.064625,0.224576,0.702882,north
Nuevo León,0.050455,0.40733,0.542195,north
Coahuila,0.067426,0.299574,0.630816,north
Durango,0.072613,0.395536,0.523604,north
Nuevo León,0.029505,0.182389,0.785856,north
Zacatecas,0.067073,0.365343,0.563052,north
San Luis Potosí,5.5e-4,0.001953,0.992297,north
Nuevo León,0.045749,0.370057,0.576645,north
Nuevo León,0.061461,0.364422,0.553569,north
Coahuila,0.060348,0.307145,0.629557,north
Veracruz,1.7e-5,1e-5,0.999953,center
Tamaulipas,0.081133,0.213899,0.684095,north
Nuevo León,0.035978,0.489262,0.472507,north
Nuevo León,0.043831,0.302576,0.652463,north
Chihuahua,0.127753,0.47993,0.392297,north
Hidalgo,0.12557,0.374126,0.486927,center
Oaxaca,0.017851,0.113329,0.851119,south
San Luis Potosí,0.051203,0.310771,0.629998,north
San Luis Potosí,0.063965,0.376265,0.558978,north
Nuevo León,0.121464,0.065194,0.762171,north
Guerrero,0.059093,0.296338,0.641111,south
Nuevo León,0.067262,0.348743,0.576945,north
Coahuila,0.053214,0.251011,0.692186,north
Chiapas,0.032531,0.058313,0.895213,south
