region	group1	group2	group3	group4
ORI	1e-05	0.527588	0.023636	0.448767
ORI	0.018142	0.149981	0.031491	0.800385
ORI	1e-05	0.27959	0.047379	0.673022
ORI	0.016505	0.385117	0.056187	0.542191
ORI	1e-05	0.246998	0.053549	0.699442
ORI	1e-05	0.318086	0.034493	0.647411
ORI	0.009251	0.052794	0.000193	0.937762
ORI	1e-05	0.276057	0.018851	0.705082
ORI	1e-05	0.307846	0.013493	0.678651
ORI	1e-05	0.348723	0.039921	0.611346
ORI	1e-05	0.562374	0.057247	0.380369
ORI	1e-05	0.33724	0.014694	0.648056
ORI	0.012094	0.319441	0.041632	0.626834
ORI	1e-05	0.381756	0.057715	0.560519
ORI	0.008346	0.172315	0.053287	0.766052
ORI	1e-05	0.332359	0.061344	0.606288
ORI	1e-05	0.268917	0.062469	0.668604
ORI	0.00512	0.219054	0.053343	0.722484
ORI	0.000251	0.361264	0.137293	0.501192
ORI	1e-05	0.585656	0.033725	0.380609
ORI	0.001832	0.266205	0.050956	0.681007
ORI	1e-05	0.271918	0.082603	0.645469
ORI	0.000757	0.449065	0.055914	0.494264
ORI	1e-05	0.358396	0.056689	0.584905
ORI	1e-05	0.260488	0.039413	0.70009
ORI	1e-05	0.440058	0.061396	0.498535
ORI	1e-05	0.280611	0.01973	0.699649
ORI	0.003738	0.461336	0.043471	0.491454
ORI	0.007192	0.287091	0.04552	0.660197
ORI	0.012193	0.059384	0.016862	0.911561
ORI	1e-05	0.193783	0.064748	0.741458
ORI	1e-05	0.826183	0.030947	0.142859
ORI	1e-05	0.318773	0.099621	0.581596
ORI	0.007359	0.301031	0.039588	0.652023
ORI	1e-05	0.433564	0.052531	0.513896
ORI	0.009276	0.186881	0.041014	0.762829
ORI	0.005665	0.380908	0.056891	0.556537
ORI	1e-05	0.32158	0.045678	0.632732
ORI	0.012767	0.065133	0.063052	0.859049
ORI	1e-05	0.410599	0.076331	0.51306
ORI	0.013013	0.313948	0.045608	0.62743
ORI	1e-05	0.393661	0.053073	0.553256
ORI	0.0053	0.328334	0.076442	0.589924
ORI	1e-05	0.327652	0.078661	0.593677
ORI	0.006381	0.269509	0.042889	0.681221
ORI	0.009848	0.288181	0.055955	0.646016
ORI	0.000155	0.32013	0.046754	0.632961
