region	group1	group2	group3	group4	group5	group6
ORI	1e-05	0.037035	0.339626	0.022058	1e-05	0.601262
ORI	0.01139	0.025376	0.593797	0.024867	1e-05	0.344559
ORI	1e-05	0.055536	0.39799	0.030212	0.001106	0.515147
ORI	1e-05	0.038961	0.312188	0.037768	0.005502	0.605572
ORI	1e-05	0.029928	0.24048	0.019112	0.003783	0.706687
ORI	1e-05	0.046784	0.333508	0.054015	0.010419	0.555264
ORI	0.000937	0.043508	0.51934	0.018329	1e-05	0.417877
ORI	1.3e-05	0.044706	0.358015	0.028506	1e-05	0.56875
ORI	0.005736	0.031554	0.368047	0.021814	1e-05	0.572839
ORI	0.016189	0.019268	0.705741	0.017434	1e-05	0.241358
ORI	0.00802	0.047427	0.361562	0.028639	1e-05	0.554343
ORI	0.002236	0.018932	0.255547	0.030285	0.01153	0.681471
ORI	1e-05	0.016765	0.261837	0.016647	1e-05	0.704731
ORI	0.007226	0.039371	0.33046	0.008112	0.012054	0.602778
ORI	0.007853	0.037471	0.266862	0.009227	0.005927	0.672661
ORI	0.010135	0.031419	0.32295	0.04592	0.002711	0.586865
ORI	0.007693	0.045881	0.344989	0.018551	0.006889	0.575997
ORI	0.011789	0.042392	0.383848	0.01364	1e-05	0.548321
ORI	0.007629	0.018615	0.629858	0.015596	1e-05	0.328292
ORI	1e-05	0.038033	0.307192	0.048474	0.010774	0.595517
ORI	0.005647	0.022129	0.346527	0.032286	1e-05	0.593402
ORI	0.012584	0.044462	0.356342	0.025621	5e-05	0.560941
ORI	1e-05	0.055105	0.382957	0.064648	0.007711	0.489568
ORI	0.004921	0.039898	0.260826	0.021941	0.005274	0.667139
ORI	0.005182	0.026281	0.399668	0.017659	0.002613	0.548598
ORI	1e-05	0.036167	0.359598	0.03397	0.006487	0.563769
ORI	0.012818	0.044977	0.238923	0.026651	0.002644	0.673987
ORI	1e-05	0.041922	0.295363	0.03435	0.004587	0.623768
ORI	1.1e-05	0.046943	0.36857	0.011352	1e-05	0.573114
ORI	0.008474	0.019204	0.240408	0.01208	0.004597	0.715238
ORI	0.00543	0.031614	0.455176	0.024481	1e-05	0.483288
ORI	1e-05	0.024896	0.415914	0.028961	0.004648	0.525572
ORI	0.011069	0.053103	0.319568	0.026706	1e-05	0.589543
ORI	1.3e-05	0.02161	0.361713	0.012755	1e-05	0.6039
ORI	0.007771	0.030752	0.315467	0.014754	1e-05	0.631246
ORI	0.017476	0.019161	0.286766	0.02024	1e-05	0.656346
ORI	0.003817	0.022725	0.347004	0.022671	0.006177	0.597605
ORI	0.020628	0.02883	0.41983	0.017209	1e-05	0.513493
ORI	0.013146	0.074578	0.314053	0.10641	0.02497	0.466843
ORI	0.006927	0.044508	0.251971	0.04673	1e-05	0.649854
ORI	0.004567	0.031096	0.450245	0.030618	1e-05	0.483462
ORI	1e-05	0.012914	0.307737	0.017314	0.008839	0.653186
ORI	0.016703	0.024	0.317746	0.015766	1e-05	0.625776
ORI	0.001544	0.026247	0.302929	0.02291	0.007959	0.638411
ORI	0.009687	0.027161	0.400342	0.026537	0.004507	0.531766
ORI	0.011068	0.022709	0.365156	0.033427	1e-05	0.567629
ORI	1.3e-05	0.014568	0.293574	0.023254	1e-05	0.668581
ORI	1e-05	0.031444	0.334767	0.026585	0.004481	0.602714
ORI	0.0031	0.045477	0.366552	0.019692	1e-05	0.565169
ORI	0.007541	0.029304	0.362247	0.016861	0.003577	0.58047
ORI	1e-05	0.013847	0.349636	0.027474	0.001679	0.607353
ORI	1e-05	0.001874	0.066248	0.000861	0.006132	0.924876
ORI	0.008563	0.025761	0.369082	0.016832	1e-05	0.579753
ORI	0.016517	0.021688	0.269395	0.028835	1e-05	0.663554
ORI	1e-05	0.04186	0.275001	0.028731	0.001436	0.652963
ORI	0.010641	0.028138	0.307467	0.024554	1e-05	0.629189
ORI	0.001457	0.034292	0.370935	0.013	0.006008	0.574309
ORI	1e-05	0.02003	0.171035	0.008065	0.004237	0.796623
ORI	0.01231	0.018381	0.375819	0.015673	1e-05	0.577807
ORI	0.010021	0.038116	0.356189	0.026008	0.00192	0.567745
ORI	1e-05	1e-05	0.001268	1.6e-05	0.004222	0.994474
ORI	0.005773	0.030492	0.693186	0.013145	1e-05	0.257394
ORI	0.01289	0.032372	0.288808	0.006824	0.000738	0.658367
ORI	0.014608	0.027028	0.435482	0.022521	1e-05	0.500351
ORI	1e-05	0.014245	0.171762	0.008238	0.012583	0.793162
ORI	0.011994	0.035823	0.249707	0.027399	1e-05	0.675066
ORI	1e-05	0.03558	0.274168	0.009174	0.002069	0.678999
ORI	1e-05	0.034783	0.415082	0.021961	1e-05	0.528154
ORI	0.003842	0.025269	0.552955	0.027155	1e-05	0.390769
ORI	0.007357	0.041158	0.348374	0.028156	0.009934	0.565023
