region	group1	group2	group3	group4	group5	group6	group7
ORI	0.190413	0.788884	0.010458	0.004666	0.005559	1e-05	1e-05
ORI	0.382198	0.547736	0.043947	0.006371	0.004849	1e-05	0.014889
ORI	0.479419	0.440892	0.043506	0.010953	1e-05	1e-05	0.025209
ORI	0.148656	0.799998	0.009496	0.014067	1e-05	0.001096	0.026676
ORI	0.3468	0.564128	0.040336	1e-05	1e-05	0.008059	0.040657
ORI	0.212604	0.747302	0.015083	0.014423	1e-05	1e-05	0.010569
ORI	0.295018	0.625426	0.068966	0.003142	1e-05	1e-05	0.007428
ORI	0.222666	0.704207	0.045176	1e-05	0.003885	1e-05	0.024046
ORI	0.465538	0.471532	0.032811	0.007769	1e-05	0.004322	0.018019
ORI	0.232206	0.703911	0.045828	0.009769	1e-05	1e-05	0.008266
ORI	0.402498	0.500346	0.023381	0.004096	0.006739	0.00991	0.053031
ORI	0.207369	0.775657	0.004746	0.004394	0.00173	0.000132	0.005972
ORI	0.300322	0.584119	0.071028	0.015456	0.015773	1e-05	0.013292
ORI	0.307891	0.630837	0.026395	0.013472	0.004984	1e-05	0.016411
ORI	0.342821	0.547204	0.082474	0.00126	1e-05	0.005968	0.020263
ORI	0.081228	0.865876	0.031078	1e-05	0.013667	1e-05	0.008131
ORI	0.220939	0.702833	0.05562	0.013868	0.003396	0.003335	1e-05
ORI	0.352351	0.586346	0.033656	0.008012	0.004476	1e-05	0.01515
ORI	0.316637	0.64145	0.02292	1.5e-05	0.018241	1e-05	0.000727
ORI	0.236168	0.707072	0.033888	1e-05	0.00958	0.008944	0.004338
ORI	0.222831	0.677818	0.050958	0.014218	1e-05	0.008478	0.025688
ORI	0.080855	0.875045	0.023456	0.001213	0.0017	0.01772	1e-05
ORI	0.214046	0.712806	0.060442	0.008398	1e-05	0.0036	0.000698
ORI	0.425446	0.539538	0.0238	0.006246	0.00495	1e-05	1e-05
ORI	0.229938	0.725616	0.007535	0.000218	0.018056	1e-05	0.018628
ORI	0.323668	0.576008	0.053339	0.009012	0.006586	1e-05	0.031377
ORI	0.482578	0.396563	0.076216	0.009324	1e-05	1e-05	0.0353
ORI	0.417001	0.510929	0.042924	0.017486	1e-05	1e-05	0.01164
ORI	0.616184	0.301812	0.026801	0.004214	1e-05	1e-05	0.050969
ORI	0.286314	0.650852	0.040938	0.004524	1e-05	1e-05	0.017352
ORI	0.539437	0.372176	0.043331	0.00848	1e-05	1e-05	0.036556
ORI	0.358827	0.599307	0.041817	1e-05	1.2e-05	1.8e-05	1e-05
ORI	0.48916	0.439871	0.024445	0.012181	1e-05	1e-05	0.034323
ORI	0.158656	0.787904	0.032125	0.002703	1e-05	0.017305	0.001297
ORI	0.275368	0.660206	0.048068	0.004604	0.001853	1e-05	0.00989
ORI	0.370867	0.529968	0.056748	1e-05	0.001219	0.022525	0.018663
ORI	0.25752	0.687997	0.054432	1.8e-05	1.3e-05	1e-05	1e-05
ORI	0.318089	0.635301	0.034937	0.010587	0.001066	1e-05	1e-05
ORI	0.063503	0.926226	0.000177	0.002659	0.007415	1e-05	1e-05
ORI	0.264336	0.693151	0.019668	0.003929	1e-05	1e-05	0.018896
ORI	0.298665	0.666208	0.014119	0.007403	1e-05	1e-05	0.013585
ORI	0.342117	0.600934	0.040881	0.005881	1.4e-05	1e-05	0.010163
ORI	0.551846	0.375263	0.058775	0.004549	1e-05	1e-05	0.009547
ORI	0.328088	0.636203	0.01592	1e-05	0.001093	1e-05	0.018676
ORI	0.311995	0.614865	0.041906	0.011675	0.007508	0.006326	0.005725
ORI	0.376763	0.549897	0.058411	0.009038	0.002241	1e-05	0.003638
ORI	0.183427	0.751892	0.053824	1e-05	0.010307	0.000531	1e-05
ORI	0.328681	0.596913	0.063035	0.001024	1e-05	1e-05	0.010327
ORI	0.269128	0.657207	0.063544	1e-05	1e-05	1e-05	0.010091
ORI	0.202725	0.708399	0.05452	0.000893	0.007267	1e-05	0.026186
ORI	0.308336	0.490572	0.139732	1e-05	1e-05	0.00095	0.060389
ORI	0.552241	0.372589	0.034766	0.003939	0.00279	1e-05	0.033663
ORI	0.25509	0.666918	0.051903	0.000602	0.006296	1e-05	0.019181
ORI	0.264089	0.633836	0.08324	0.009506	0.000541	1e-05	0.008778
ORI	0.401787	0.482336	0.056495	0.019544	1e-05	0.001761	0.038065
ORI	0.32631	0.572194	0.058039	0.003025	0.001669	0.000626	0.038138
ORI	0.243642	0.686719	0.040366	0.005369	0.001193	1e-05	0.022702
ORI	0.413846	0.48665	0.062663	1e-05	0.005397	1e-05	0.031423
ORI	0.284866	0.687711	0.020423	0.006422	1e-05	0.000286	0.000283
ORI	0.412894	0.47804	0.044378	0.00329	1e-05	0.010967	0.050421
ORI	0.285555	0.646544	0.046344	1e-05	0.002191	0.009738	0.009618
ORI	0.072458	0.899029	0.017183	0.002038	0.009272	1e-05	1e-05
ORI	0.20525	0.729237	0.065473	1e-05	1e-05	1e-05	1e-05
ORI	0.79317	0.141301	0.031549	1e-05	1e-05	1e-05	0.03395
ORI	0.319945	0.572862	0.101006	1e-05	1e-05	1e-05	0.006158
ORI	0.281082	0.639448	0.040283	0.009938	1e-05	0.008233	0.021007
ORI	0.397928	0.501882	0.053714	0.008603	1e-05	0.00333	0.034533
ORI	0.195792	0.750278	0.041626	0.002565	0.002314	0.007416	1e-05
ORI	0.352622	0.543967	0.057847	0.006308	0.003103	0.006559	0.029594
ORI	0.323387	0.620932	0.04696	0.002484	0.001827	1e-05	0.0044
ORI	0.078788	0.846725	0.063442	1e-05	0.011015	1e-05	1e-05
ORI	0.397747	0.50381	0.076818	0.013457	1e-05	1e-04	0.008058
ORI	0.302599	0.614375	0.046191	0.010211	0.014662	0.000489	0.011472
ORI	0.365349	0.543049	0.054972	1e-05	1e-05	1e-05	0.0366
ORI	0.320011	0.579247	0.076183	0.021794	0.002649	0.000106	1e-05
ORI	0.317327	0.580915	0.079366	0.0056	0.004955	1e-05	0.011828
ORI	0.258753	0.668308	0.043622	0.006504	0.006435	0.001185	0.015193
ORI	0.292882	0.633066	0.056306	0.003773	0.005042	0.008922	1e-05
ORI	0.313338	0.618939	0.047278	1e-05	0.006776	1e-05	0.01365
ORI	0.339529	0.527836	0.078517	0.009915	1e-05	1e-05	0.044183
ORI	0.371568	0.545823	0.057769	1.2e-05	1e-05	1e-05	0.024807
ORI	0.240668	0.668588	0.066154	0.003339	1e-05	0.003667	0.017573
ORI	0.306498	0.621598	0.05498	0.013334	1e-05	1e-05	0.003569
ORI	0.251289	0.68179	0.042908	6e-05	1e-05	0.002285	0.021659
ORI	0.186954	0.724184	0.055989	1e-05	0.011977	0.00502	0.015866
ORI	0.216448	0.720388	0.045222	0.01132	0.000955	0.005658	1e-05
ORI	0.285171	0.646721	0.053901	1e-05	0.005015	0.003041	0.00614
ORI	0.411052	0.489285	0.071273	0.01409	0.000747	1e-05	0.013543
ORI	0.281672	0.637706	0.068572	1e-05	0.001971	1e-05	0.010059
ORI	0.519031	0.429244	0.033767	1e-05	1e-05	0.00298	0.014959
ORI	0.337245	0.56422	0.060576	0.001096	1e-05	1e-05	0.036842
ORI	0.293776	0.627146	0.04328	0.008629	1e-05	1e-05	0.027149
ORI	0.278124	0.646645	0.055305	0.010795	1e-05	1e-05	0.00911
