region	group1	group2	group3	group4	group5
ORI	0.055581	0.229368	0.005797	0.708068	0.001186
ORI	0.141487	0.368756	0.000685	0.489062	1e-05
ORI	0.038725	0.590704	1e-05	0.367641	0.00292
ORI	0.053574	0.275642	0.004584	0.66545	0.00075
ORI	0.085113	0.275258	1e-05	0.631055	0.008564
ORI	0.059326	0.442579	1e-05	0.478965	0.019119
ORI	0.060163	0.366127	0.001093	0.569909	0.002708
ORI	0.041821	0.26747	1e-05	0.685332	0.005366
ORI	0.066043	0.449166	1e-05	0.484771	1e-05
ORI	0.022196	0.288414	1e-05	0.684175	0.005205
ORI	0.047166	0.465422	0.008851	0.475117	0.003444
ORI	0.048299	0.297615	0.010216	0.64386	1e-05
ORI	0.017566	0.069568	0.007829	0.901169	0.003868
ORI	0.066767	0.206176	1e-05	0.727037	1e-05
ORI	0.037054	0.830258	1e-05	0.132668	1e-05
ORI	0.103315	0.328221	1e-05	0.568445	1e-05
ORI	0.042024	0.303992	0.006681	0.637211	0.010091
ORI	0.056579	0.435392	0.001195	0.49834	0.008494
ORI	0.042921	0.197356	0.008717	0.748682	0.002324
ORI	0.060388	0.384611	0.008224	0.541021	0.005756
ORI	0.049314	0.331275	1e-05	0.617758	0.001643
ORI	0.06386	0.07696	0.008532	0.849057	0.001591
ORI	0.080062	0.410203	1e-05	0.498671	0.011054
ORI	0.048241	0.316935	0.01292	0.612236	0.009667
ORI	0.057187	0.403473	1e-05	0.539319	1e-05
ORI	0.078791	0.322822	9.2e-05	0.576219	0.022076
ORI	0.081835	0.33199	1e-05	0.579375	0.00679
ORI	0.045299	0.27574	0.006044	0.666567	0.006349
ORI	0.058641	0.295417	0.01181	0.630363	0.003768
ORI	0.049524	0.329806	0.004177	0.616484	1e-05
ORI	0.080681	0.385265	1e-05	0.525292	0.008751
ORI	0.06021	0.398246	1e-05	0.541524	1e-05
ORI	0.067687	0.259578	0.002267	0.66693	0.003538
ORI	0.057164	0.313418	1e-05	0.617726	0.011682
ORI	0.044422	0.274157	0.000676	0.680249	0.000497
ORI	0.056962	0.20337	0.015786	0.723872	1e-05
ORI	0.046762	0.21764	0.005188	0.718852	0.011558
ORI	0.055905	0.293778	0.005863	0.644444	1e-05
ORI	0.0745	0.429077	1e-05	0.484739	0.011674
ORI	0.070578	0.293789	0.000422	0.635201	1e-05
ORI	0.037521	0.538513	0.00082	0.423137	1e-05
ORI	0.062764	0.375893	1e-05	0.561323	1e-05
ORI	0.045093	0.322527	1e-05	0.624712	0.007657
ORI	0.057086	0.289266	1e-05	0.643765	0.009873
ORI	0.067936	0.382955	0.002051	0.547047	1e-05
ORI	0.032543	0.295258	0.004671	0.667517	1e-05
ORI	0.077557	0.311387	0.01214	0.594447	0.004469
ORI	0.036307	0.422362	1e-05	0.538201	0.003119
ORI	0.000597	0.000308	0.005524	0.992003	0.001568
ORI	0.033155	0.364915	0.007273	0.593448	0.001208
ORI	0.065882	0.330561	0.006008	0.596864	0.000684
ORI	0.058634	0.204958	0.011228	0.720753	0.004427
ORI	0.049069	0.296197	0.006528	0.648196	1e-05
ORI	0.067902	0.295118	0.004387	0.627819	0.004774
ORI	0.064839	0.333412	1e-05	0.597916	0.003823
ORI	0.043086	0.598813	1e-05	0.3542	0.00389
ORI	0.057119	0.389503	1e-05	0.553358	1e-05
ORI	0.035176	0.39319	1e-05	0.561546	0.010078
ORI	0.058914	0.339792	1e-05	0.601274	1e-05
ORI	0.050114	0.593885	1e-05	0.344576	0.011415
ORI	0.085486	0.398234	0.001123	0.515146	1e-05
ORI	0.076558	0.312323	0.005517	0.605592	1e-05
ORI	0.048899	0.240606	0.003769	0.706716	1e-05
ORI	0.100593	0.333668	0.010453	0.555276	1e-05
ORI	0.061656	0.519571	1e-05	0.417884	0.000879
ORI	0.073017	0.358202	1e-05	0.568761	1e-05
ORI	0.053234	0.36817	1e-05	0.572863	0.005724
ORI	0.036616	0.705816	1e-05	0.241365	0.016193
ORI	0.07585	0.361775	1e-05	0.554354	0.008011
ORI	0.049084	0.255558	0.011622	0.681458	0.002279
ORI	0.033319	0.261906	1e-05	0.704754	1e-05
ORI	0.047276	0.330814	0.012083	0.602803	0.007025
ORI	0.046526	0.267118	0.005758	0.672751	0.007847
ORI	0.077195	0.323005	0.002736	0.586884	0.01018
ORI	0.064194	0.345185	0.006835	0.576033	0.007753
ORI	0.055777	0.384102	1e-05	0.548323	0.011788
ORI	0.034131	0.629935	1e-05	0.3283	0.007624
ORI	0.086344	0.307301	0.010818	0.595528	1e-05
ORI	0.054277	0.346564	1e-05	0.59342	0.005729
ORI	0.069838	0.356557	1e-05	0.560995	0.0126
ORI	0.119524	0.383132	0.007751	0.489583	1e-05
ORI	0.061682	0.26105	0.00532	0.667149	0.004799
ORI	0.04382	0.399793	0.002642	0.548612	0.005134
ORI	0.069972	0.359733	0.00649	0.563795	1e-05
ORI	0.07146	0.239122	0.002596	0.674053	0.012769
ORI	0.076082	0.295536	0.004567	0.623805	1e-05
ORI	0.058073	0.368776	1e-05	0.573131	1e-05
ORI	0.03118	0.240516	0.004645	0.715242	0.008417
ORI	0.055974	0.455307	1e-05	0.483299	0.00541
ORI	0.053726	0.415999	0.004684	0.525581	1e-05
ORI	0.079551	0.319904	1e-05	0.589568	0.010968
ORI	0.034245	0.361803	1e-05	0.603932	1e-05
ORI	0.045354	0.315643	1e-05	0.631277	0.007716
ORI	0.03929	0.286838	1e-05	0.656373	0.017489
ORI	0.045286	0.347085	0.006185	0.597617	0.003828
ORI	0.045911	0.419948	1e-05	0.513516	0.020614
ORI	0.180712	0.314189	0.025017	0.466857	0.013226
ORI	0.091053	0.252106	1e-05	0.649878	0.006953
ORI	0.06157	0.450349	1e-05	0.483483	0.004588
ORI	0.030143	0.307784	0.008882	0.653181	1e-05
ORI	0.039629	0.31788	1e-05	0.625807	0.016674
ORI	0.049029	0.30301	0.007946	0.638431	0.001583
ORI	0.053576	0.400449	0.004535	0.531778	0.009662
ORI	0.056019	0.365211	1e-05	0.567648	0.011113
ORI	0.037753	0.293611	1e-05	0.668617	1e-05
ORI	0.057879	0.334883	0.0045	0.602727	1e-05
ORI	0.064936	0.366759	1e-05	0.565179	0.003116
ORI	0.046012	0.362377	0.003556	0.580507	0.007548
ORI	0.041247	0.349648	0.001748	0.607347	1e-05
ORI	0.002697	0.066262	0.006153	0.924878	1e-05
ORI	0.042461	0.369186	1e-05	0.579758	0.008585
ORI	0.050414	0.269442	1e-05	0.663569	0.016565
ORI	0.070402	0.275158	0.001447	0.652983	1e-05
ORI	0.052565	0.307574	1e-05	0.629216	0.010635
ORI	0.047163	0.371092	0.006042	0.574318	0.001384
ORI	0.028015	0.17111	0.004203	0.796661	1e-05
ORI	0.033959	0.375891	1e-05	0.577832	0.012308
ORI	0.063936	0.356363	0.001895	0.567795	0.010011
ORI	2.4e-05	0.001279	0.004198	0.994489	1e-05
ORI	0.043467	0.693393	1e-05	0.257436	0.005694
ORI	0.039019	0.288999	0.000662	0.658448	0.012872
ORI	0.049406	0.435595	1e-05	0.500382	0.014607
ORI	0.02238	0.17183	0.012597	0.793183	1e-05
ORI	0.06304	0.24986	1e-05	0.675113	0.011976
ORI	0.044576	0.274374	0.001959	0.679081	1e-05
ORI	0.05659	0.41521	1e-05	0.52818	1e-05
ORI	0.052305	0.553026	1e-05	0.390787	0.003872
ORI	0.069145	0.348557	0.009912	0.56506	0.007327
ORI	0.059843	0.35336	1e-05	0.575947	0.010839
ORI	0.037723	0.223039	0.002514	0.71783	0.018895
ORI	0.032945	0.260805	0.008837	0.694235	0.003179
ORI	0.062561	0.317127	0.012213	0.608088	1e-05
ORI	0.056464	0.415572	0.007684	0.517273	0.003007
ORI	0.054032	0.369849	0.004253	0.563883	0.007983
ORI	0.049521	0.262445	1e-05	0.673522	0.014502
ORI	0.038153	0.635829	1e-05	0.325998	1e-05
ORI	0.049695	0.505052	1e-05	0.425965	0.019278
ORI	0.002607	0.026586	0.009406	0.961391	1e-05
ORI	0.040673	0.585485	0.001566	0.372266	1e-05
ORI	0.086842	0.399852	1e-05	0.503505	0.009791
ORI	0.04022	0.219426	1e-05	0.740334	1e-05
ORI	0.043399	0.393805	0.006012	0.547602	0.009183
ORI	0.031471	0.693013	1e-05	0.268442	0.007064
ORI	0.064486	0.397233	1e-05	0.535724	0.002547
ORI	0.031697	0.423362	0.006019	0.538912	1e-05
ORI	0.044278	0.639802	0.000434	0.303007	0.012479
ORI	0.000331	0.00277	0.004777	0.992112	1e-05
ORI	0.026716	0.437928	0.002134	0.510276	0.022947
ORI	0.049368	0.323123	0.008456	0.619043	1e-05
ORI	0.061058	0.261202	0.0141	0.66363	1e-05
ORI	0.02476	0.442429	1e-05	0.520936	0.011865
ORI	0.054802	0.32076	0.001082	0.620371	0.002984
ORI	0.063885	0.365576	1e-05	0.568962	0.001567
ORI	0.111142	0.460372	1e-05	0.428466	1e-05
ORI	0.038227	0.31942	1e-05	0.628578	0.013765
ORI	0.032529	0.740836	1e-05	0.226615	1e-05
ORI	0.067409	0.345318	1e-05	0.581124	0.006139
ORI	0.046884	0.4563	0.002017	0.494788	1e-05
ORI	0.058214	0.43403	1e-05	0.507737	1e-05
ORI	0.043724	0.448232	1e-05	0.502617	0.005416
ORI	0.066716	0.459372	1e-05	0.465053	0.008849
ORI	0.084478	0.425879	1e-05	0.484026	0.005607
ORI	0.065784	0.200975	1.4e-05	0.733217	1e-05
ORI	0.055694	0.416296	1e-05	0.515383	0.012617
ORI	0.08536	0.468897	1e-05	0.445723	1e-05
ORI	0.041868	0.320549	0.015369	0.622204	1e-05
ORI	0.046177	0.419459	0.003405	0.530949	1e-05
ORI	0.05152	0.418178	1e-05	0.530281	1e-05
ORI	0.057743	0.376057	1e-05	0.552468	0.013722
ORI	0.03578	0.310455	0.001012	0.6462	0.006552
ORI	0.042388	0.316957	0.020789	0.608074	0.011792
ORI	0.058263	0.450926	1e-05	0.479792	0.011009
ORI	0.046116	0.32698	1e-05	0.617629	0.009265
ORI	0.060122	0.453961	1e-05	0.480308	0.005599
ORI	0.001305	0.044232	0.004271	0.950182	1e-05
ORI	0.065088	0.262581	0.007626	0.664694	1e-05
ORI	0.106329	0.232823	0.01286	0.647978	1e-05
ORI	0.06942	0.330193	0.001777	0.5986	1e-05
ORI	0.023964	0.532402	0.00807	0.434925	0.000639
ORI	0.053964	0.375536	0.011437	0.559053	1e-05
ORI	0.049402	0.32875	0.007339	0.608036	0.006473
ORI	0.048154	0.364637	0.009532	0.571302	0.006374
ORI	0.069489	0.361918	1e-05	0.568573	1e-05
ORI	0.006797	0.007429	0.002535	0.982158	0.00108
ORI	0.07082	0.338471	1e-05	0.582155	0.008544
ORI	0.04283	0.530466	1e-05	0.426685	1e-05
ORI	0.040013	0.162075	0.007657	0.788607	0.001648
ORI	0.047538	0.36125	1e-05	0.591191	1e-05
ORI	0.040248	0.217197	0.004177	0.737952	0.000426
ORI	0.047075	0.320148	1e-05	0.621875	0.010893
ORI	0.048019	0.335459	0.002827	0.609381	0.004314
ORI	0.084111	0.413853	0.009867	0.487743	0.004426
ORI	0.056137	0.34971	1e-05	0.59161	0.002534
ORI	0.066142	0.410924	0.001244	0.52168	1e-05
ORI	0.026631	0.429354	1e-05	0.543995	1e-05
ORI	0.045774	0.303167	0.001025	0.639448	0.010585
ORI	0.065183	0.359613	1e-05	0.575184	1e-05
ORI	0.009108	0.066799	0.004577	0.915643	0.003873
ORI	0.05605	0.334287	0.003527	0.603128	0.003009
