PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	tag	run_clean
-0.0116	-0.0213	-0.0014	0.0197	0.0177	-0.095	-0.0034	-0.014	-0.0283	-0.0294	EUR	0_rand_intrain
-0.0114	-0.0213	-0.0019	0.0189	0.0147	-0.0912	-0.0024	-0.0122	-0.0213	-0.0154	EUR	0_rand_intrain
-0.0114	-0.0228	-0.0015	0.0209	0.0136	-0.0684	-0.0015	-0.0074	-0.0089	-0.0114	EUR	0_rand_intrain
-0.0115	-0.0234	-0.0027	0.0214	0.014	-0.0727	-0.0027	-0.0101	-0.0081	-0.014	EUR	0_rand_intrain
-0.0113	-0.0234	-0.0011	0.021	0.011	-0.0659	-0.0021	-0.0082	-0.0182	-0.0048	EUR	0_rand_intrain
-0.0112	-0.0225	-0.0026	0.0199	0.0164	-0.0804	-0.0016	-0.0122	-0.0196	-0.0146	EUR	0_rand_intrain
-0.0114	-0.024	-0.001	0.0194	0.0103	-0.0588	-7e-4	-0.0065	-0.0047	-0.0106	EUR	0_rand_intrain
-0.0115	-0.0225	-0.0019	0.0192	0.0145	-0.0838	-0.005	-0.0135	-0.0158	-0.02	EUR	0_rand_intrain
-0.0116	-0.0225	-0.0016	0.0204	0.0152	-0.0811	-0.0019	-0.0121	-0.0165	-0.0225	EUR	0_rand_intrain
-0.0117	-0.0225	-0.0025	0.0196	0.0141	-0.0778	-0.0017	-0.009	-0.0163	-0.022	EUR	0_rand_intrain
-0.0115	-0.0223	-0.0012	0.0203	0.0175	-0.0788	-0.0018	-0.011	-0.0167	-0.0113	EUR	0_rand_intrain
-0.0117	-0.0227	-0.0021	0.02	0.0145	-0.0775	-0.0019	-0.0115	-0.0101	-0.0132	EUR	0_rand_intrain
-0.0116	-0.022	-0.0018	0.0203	0.0153	-0.0892	-0.0011	-0.0143	-0.017	-0.0222	EUR	0_rand_intrain
-0.0115	-0.0226	-0.0016	0.0187	0.0192	-0.0884	-0.0023	-0.0172	-0.0112	-0.0249	EUR	0_rand_intrain
-0.0117	-0.0216	-0.0019	0.019	0.0185	-0.0923	-0.0026	-0.0146	-0.0141	-0.0203	EUR	0_rand_intrain
-0.0114	-0.0224	-0.0019	0.02	0.017	-0.0924	-0.0033	-0.0153	-0.0186	-0.021	EUR	0_rand_intrain
-0.0114	-0.0238	-0.0013	0.0196	0.0119	-0.0661	-0.0019	-0.0076	-0.0039	-0.0104	EUR	0_rand_intrain
-0.0113	-0.0222	-0.0018	0.0202	0.0124	-0.0782	-0.0031	-0.0103	-0.0156	-0.0175	EUR	0_rand_intrain
-0.0112	-0.0225	-0.0025	0.0203	0.0161	-0.0786	-0.0026	-0.0103	-0.0123	-0.0177	EUR	0_rand_intrain
-0.0113	-0.0237	-0.0018	0.0209	0.0136	-0.0663	-0.0029	-0.0072	-0.009	-0.0084	EUR	0_rand_intrain
-0.0113	-0.0244	-0.002	0.0214	0.0094	-0.0572	-7e-4	-0.0073	-0.0041	-0.0057	EUR	0_rand_intrain
-0.0115	-0.0219	-0.0022	0.0205	0.0166	-0.0827	-0.0012	-0.0133	-0.017	-0.0113	EUR	0_rand_intrain
-0.0114	-0.0225	-0.0028	0.0195	0.0133	-0.0745	-0.0014	-0.0123	-0.0191	-0.0179	EUR	0_rand_intrain
-0.0115	-0.0235	-0.0019	0.0204	0.0148	-0.074	-0.0021	-0.0098	-0.008	-0.0078	EUR	0_rand_intrain
-0.0115	-0.0223	-0.0017	0.02	0.0155	-0.0813	-0.0039	-0.0123	-0.0191	-0.0171	EUR	0_rand_intrain
-0.0114	-0.0231	-0.0022	0.0206	0.0108	-0.0673	-0.0014	-0.0094	-0.0111	-0.0128	EUR	0_rand_intrain
-0.0116	-0.022	-0.0022	0.02	0.0137	-0.0762	-0.0031	-0.0114	-0.0171	-0.0154	EUR	0_rand_intrain
-0.0115	-0.0221	-0.0017	0.0203	0.0161	-0.0904	-0.0013	-0.0132	-0.018	-0.0197	EUR	0_rand_intrain
-0.0114	-0.0223	-0.003	0.0205	0.0185	-0.0928	-0.0017	-0.0137	-0.0193	-0.0255	EUR	0_rand_intrain
-0.0119	-0.0212	-0.0028	0.0202	0.0163	-0.0948	-9e-4	-0.0116	-0.0145	-0.0248	EUR	0_rand_intrain
-0.0114	-0.023	-0.0026	0.0207	0.0164	-0.0788	-0.0028	-0.0134	-0.0051	-0.0163	EUR	0_rand_intrain
-0.0115	-0.0224	-0.0021	0.0195	0.0149	-0.079	-3e-4	-0.0144	-0.0188	-0.0147	EUR	0_rand_intrain
-0.0117	-0.0231	-0.0026	0.0205	0.0138	-0.078	-0.0024	-0.0095	-0.0204	-0.011	EUR	0_rand_intrain
-0.0114	-0.0234	-0.0012	0.0198	0.0126	-0.0652	-0.001	-0.0084	-0.0173	-0.009	EUR	0_rand_intrain
-0.0113	-0.0229	-0.0019	0.0201	0.014	-0.0692	-0.0013	-0.0103	-0.0105	-0.015	EUR	0_rand_intrain
-0.0114	-0.023	-0.0024	0.0203	0.0157	-0.0689	-2e-4	-0.0103	-0.0113	-0.0082	EUR	0_rand_intrain
-0.0113	-0.0228	-0.0015	0.0194	0.0112	-0.0687	-0.0041	-0.0072	-0.0129	-0.0035	EUR	0_rand_intrain
-0.0113	-0.0238	-0.0023	0.0214	0.012	-0.0691	-0.0014	-0.0086	-0.0075	-0.0113	EUR	0_rand_intrain
-0.0116	-0.023	-0.0022	0.0214	0.014	-0.0778	-0.0022	-0.0118	-0.0114	-0.0112	EUR	0_rand_intrain
-0.0115	-0.022	-0.0015	0.0201	0.0191	-0.0779	-0.0034	-0.0117	-0.0231	-0.021	EUR	0_rand_intrain
-0.0114	-0.024	-0.0024	0.0213	0.0122	-0.064	-0.0031	-0.0085	-0.0049	-0.0107	EUR	0_rand_intrain
-0.0112	-0.023	-0.0014	0.0207	0.0146	-0.0817	-0.0028	-0.0115	-0.0144	-0.0109	EUR	0_rand_intrain
-0.0115	-0.0219	-0.001	0.0201	0.0133	-0.0745	-0.0017	-0.0101	-0.0084	-0.0181	EUR	0_rand_intrain
-0.0107	-0.023	-8e-4	0.0185	0.0092	-0.0479	-0.0027	-0.0069	-0.0056	-0.0105	EUR	0_rand_intrain
-0.0117	-0.0221	-0.002	0.0207	0.0171	-0.0851	-0.004	-0.0135	-0.0208	-0.0189	EUR	0_rand_intrain
-0.0115	-0.0228	-0.0022	0.0208	0.0162	-0.0832	-0.0027	-0.0135	-0.016	-0.0111	EUR	0_rand_intrain
-0.0113	-0.0247	-8e-4	0.0205	0.0082	-0.0465	-0.0047	-0.0046	-8e-4	-0.0022	EUR	0_rand_intrain
-0.0114	-0.0226	-0.002	0.0209	0.0154	-0.0782	-6e-4	-0.0112	-0.0143	-0.0121	EUR	0_rand_intrain
-0.0114	-0.0233	-0.0026	0.0207	0.0109	-0.0692	-0.002	-0.0099	-0.0161	-0.0137	EUR	0_rand_intrain
-0.0114	-0.0224	-0.0016	0.02	0.0157	-0.0833	-0.0025	-0.01	-0.0135	-0.0189	EUR	0_rand_intrain
-0.0108	-0.0248	-0.0013	0.0212	0.0096	-0.0497	-0.0015	-0.0078	-3e-4	-0.0014	EUR	0_rand_intrain
-0.0113	-0.0228	-0.0022	0.0209	0.0154	-0.08	-0.0026	-0.0107	-0.0121	-0.0183	EUR	0_rand_intrain
-0.0117	-0.0226	-0.0016	0.0206	0.0121	-0.0796	-0.0036	-0.0122	-0.0164	-0.0136	EUR	0_rand_intrain
-0.0115	-0.0239	-0.0017	0.0206	0.0157	-0.068	-0.0041	-0.0067	-0.0062	-0.0184	EUR	0_rand_intrain
-0.0113	-0.023	-0.0023	0.0205	0.0145	-0.075	-0.0018	-0.0118	-0.0121	-0.0105	EUR	0_rand_intrain
-0.0115	-0.0231	-0.0018	0.0205	0.0142	-0.0734	-0.0015	-0.0113	-0.0163	-0.0113	EUR	0_rand_intrain
-0.0115	-0.0218	-0.0036	0.0205	0.0175	-0.1018	-0.0017	-0.0158	-0.0207	-0.0233	EUR	0_rand_intrain
-0.0113	-0.0236	-8e-4	0.0201	0.0123	-0.0703	-0.0013	-0.0091	-0.0137	-0.0091	EUR	0_rand_intrain
-0.0117	-0.0216	-0.0019	0.0189	0.0201	-0.0938	-0.0038	-0.013	-0.0248	-0.0202	EUR	0_rand_intrain
-0.0114	-0.0228	-0.0018	0.0191	0.012	-0.076	-0.0023	-0.0108	-0.0095	-0.0034	EUR	0_rand_intrain
-0.0114	-0.0226	-0.0024	0.0208	0.0121	-0.0772	-0.0019	-0.0094	-0.0156	-0.0196	EUR	0_rand_intrain
-0.0115	-0.0224	-0.0019	0.0195	0.0179	-0.0892	-0.002	-0.0145	-0.0147	-0.0194	EUR	0_rand_intrain
-0.0115	-0.0225	-0.0018	0.0183	0.0133	-0.075	-0.003	-0.0124	-0.0158	-0.0136	EUR	0_rand_intrain
-0.0117	-0.0223	-0.0025	0.0207	0.0136	-0.0679	-0.0012	-0.0107	-0.0108	-0.0139	EUR	0_rand_intrain
-0.0115	-0.0217	-0.0022	0.0197	0.0197	-0.0999	-0.0012	-0.0167	-0.0193	-0.0324	EUR	0_rand_intrain
-0.0116	-0.0224	-0.0023	0.0195	0.0133	-0.0856	-0.0022	-0.0129	-0.02	-0.0196	EUR	0_rand_intrain
-0.0115	-0.0224	-0.0015	0.0195	0.0142	-0.0754	-0.0024	-0.0113	-0.016	-0.0152	EUR	0_rand_intrain
-0.0119	-0.023	-0.0018	0.0204	0.0151	-0.0745	-0.0033	-0.0082	-0.0146	-0.0113	EUR	0_rand_intrain
-0.0117	-0.0215	-0.0027	0.0194	0.0167	-0.0864	-0.0017	-0.0122	-0.0157	-0.0193	EUR	0_rand_intrain
-0.0115	-0.0229	-0.002	0.0202	0.0145	-0.0829	-0.0026	-0.015	-0.0142	-0.0214	EUR	0_rand_intrain
-0.0115	-0.0238	-0.0016	0.0203	0.0153	-0.0679	-0.0028	-0.0092	-0.0103	-0.0045	EUR	0_rand_intrain
-0.0115	-0.0224	-0.0021	0.0206	0.0136	-0.0799	-0.0012	-0.0128	-0.0131	-0.0178	EUR	0_rand_intrain
-0.0116	-0.0229	-0.0015	0.0187	0.0129	-0.0767	-7e-4	-0.0122	-0.0141	-0.0093	EUR	0_rand_intrain
-0.011	-0.0247	-0.0011	0.021	0.009	-0.0557	-0.004	-0.0067	0.0053	-0.0029	EUR	0_rand_intrain
-0.0118	-0.0232	-0.0015	0.0203	0.0137	-0.0802	-0.0013	-0.0112	-0.0194	-0.0123	EUR	0_rand_intrain
-0.0113	-0.0221	-0.0019	0.0198	0.0181	-0.0881	-0.0026	-0.0107	-0.0164	-0.0239	EUR	0_rand_intrain
-0.0114	-0.0222	-0.0021	0.0212	0.0177	-0.0922	-0.0032	-0.0144	-0.0198	-0.0176	EUR	0_rand_intrain
-0.0118	-0.0233	-0.0019	0.0208	0.0134	-0.0785	-0.0013	-0.0129	-0.0166	-0.0159	EUR	0_rand_intrain
-0.0154	0.0339	0.0032	0.0158	0.0011	-3e-4	9e-4	-2e-4	0.0014	-0.0049	EAS	0_rand_intrain
-0.0158	0.0342	0.0026	0.0157	0.0017	-4e-4	4e-4	0.0018	0.008	-3e-4	EAS	0_rand_intrain
-0.0156	0.0344	0.0043	0.0154	-0.0025	9e-4	-5e-4	-3e-4	0.0053	-0.0041	EAS	0_rand_intrain
-0.0157	0.0339	0.0041	0.0158	-0.002	0.0013	-5e-4	0.0028	0.008	0.0026	EAS	0_rand_intrain
-0.0159	0.0342	0.0021	0.016	8e-4	0.0021	1e-4	-7e-4	0.0073	-2e-4	EAS	0_rand_intrain
-0.0156	0.0338	0.0038	0.0156	5e-4	6e-4	3e-4	8e-4	0.0059	-0.0049	EAS	0_rand_intrain
-0.0159	0.0341	0.0036	0.0165	0.0013	0.0013	0.0013	-2e-4	0.008	-0.0039	EAS	0_rand_intrain
-0.0157	0.0343	0.004	0.0153	0.0021	4e-4	-0.0015	-0.0014	0.0077	-0.0059	EAS	0_rand_intrain
-0.0158	0.034	0.0036	0.0162	-0.0019	9e-4	-0.0014	-2e-4	5e-4	0.0026	EAS	0_rand_intrain
-0.0156	0.0341	0.0033	0.0169	-0.0041	1e-4	-9e-4	0.003	-2e-4	-0.005	EAS	0_rand_intrain
-0.0159	0.034	0.0038	0.0158	-0.0015	0.0027	8e-4	-8e-4	0.0082	-0.0047	EAS	0_rand_intrain
-0.0156	0.0345	0.0028	0.0159	-0.0031	0.0022	0	-8e-4	0.0042	8e-4	EAS	0_rand_intrain
-0.0158	0.0342	0.0034	0.0166	0.0012	0	-0.001	-0.0013	0.0039	0.0026	EAS	0_rand_intrain
-0.0159	0.0347	0.0036	0.0165	-0.0047	-0.0011	5e-4	0.0014	0.0036	0.0033	EAS	0_rand_intrain
-0.0157	0.0336	0.0034	0.0155	-0.0047	-0.0016	-0.0013	2e-4	0.0028	-0.002	EAS	0_rand_intrain
-0.0157	0.0337	0.0039	0.0157	5e-4	-5e-4	1e-4	5e-4	6e-4	0.0021	EAS	0_rand_intrain
-0.0159	0.0341	0.0031	0.0158	3e-4	0.0011	0.0013	0.001	0.0096	-0.0044	EAS	0_rand_intrain
