feno,phenotype (spanish),case_v,case_nv,ctrl_v,ctrl_nv,fisher_pval,fisher_qval,Logitconst_beta,Logitconst_pval,Logitconst_qval,LogitEBVpres_beta,LogitEBVpres_pval,LogitEBVpres_qval,Logitsex_beta,Logitsex_pval,Logitsex_qval,Logitage_beta,Logitage_pval,Logitage_qval,Logitsocio_beta,Logitsocio_pval,Logitsocio_qval,Controls EBVpos,Cases EBVpos,Dif Cases-Controls
VISUAL_HEALTH.GLAUCOMA.3,SALUD_VISUAL.GLAUCOMA.3,1,14,74,1034,1,1,-10.757,1.49E-10,5.41E-10,-0.527,0.622,1,0.292,0.586,0.753,0.106,0.0000129,0.00005,0.229,0.186,0.422,6.68%,6.67%,0
REPRODUCTIVE_HEALTH.OOPHORECTOMY.0,SALUD_REPRODUCTIVA.OOFORECTOMIA.0,50,684,3,46,1,1,5.038,5.5E-17,5.09E-16,0.447,0.474,1,,,,-0.045,0.0000122,0.000048,0.035,0.76,0.897,6.12%,6.81%,0.007
REPRODUCTIVE_HEALTH.OOPHORECTOMY.2,SALUD_REPRODUCTIVA.OOFORECTOMIA.2,1,22,52,708,1,1,-6.991,1.5E-12,7.19E-12,-0.926,0.375,1,,,,0.065,0.0000476,0.000157,-0.078,0.623,0.812,6.84%,4.35%,-0.025
MEDICAL_RECORD.TYPE1_DIABETES_AGE.above_57,HISTORIA_MEDICA.DIABETES_TIPO1_EDAD.above_57,1,9,5,38,1,1,-15.59,0.00113,0.00173,-1.244,0.571,1,0.561,0.586,0.753,0.215,0.00151,0.00372,0.074,0.865,0.951,11.63%,10.00%,-0.016
MEDICAL_RECORD.KIDNEY_STONES_AGE.above_25.5,HISTORIA_MEDICA.CALCULOS_RENALES_EDAD.above_25·5,2,42,1,16,1,1,-4.505,0.0101,0.0138,-1.96,0.218,1,1.762,0.175,0.337,0.105,0.00371,0.00854,0.041,0.893,0.959,5.88%,4.55%,-0.013
MEDICAL_RECORD.KIDNEY_STONES_AGE.above_39,HISTORIA_MEDICA.CALCULOS_RENALES_EDAD.above_39,1,29,2,29,1,1,-5.006,0.00411,0.00589,-1.472,0.29,1,0.896,0.219,0.382,0.088,0.00693,0.0152,0.204,0.346,0.608,6.45%,3.33%,-0.031
MEDICAL_RECORD.KIDNEY_STONES_AGE.above_49,HISTORIA_MEDICA.CALCULOS_RENALES_EDAD.above_49,0,13,3,45,1,1,-9.576,0.000948,0.00147,-13.114,0.984,1,-0.58,0.526,0.705,0.147,0.00292,0.00682,-0.215,0.436,0.674,6.25%,0.00%,-0.063
REPRODUCTIVE_HEALTH.ABORTIONS.above_2,SALUD_REPRODUCTIVA.ABORTOS.above_2,1,14,52,716,1,1,-5.809,0.0000000116,0.0000000351,-0.329,0.755,1,,,,0.036,0.042,0.0763,-0.186,0.367,0.628,6.77%,6.67%,-0.001
VACCINATION.DOSE_VACCINES_COVID.above_3,VACUNACION.DOSIS_VACUNAS_COVID.above_3,4,61,61,854,1,1,-5.968,1.9E-22,3.26E-21,-0.424,0.439,1,0.498,0.0637,0.155,0.057,0.0000000096,0.0000000619,0.046,0.627,0.812,6.67%,6.15%,-0.005
CLINICAL_METABOLIC_TEST.HEART_RATE.above_84,METABOLICOS.LATIDOS_POR_MIN.above_84,4,83,12,221,1,1,-0.7,0.0759,0.094,-0.071,0.905,1,-0.014,0.962,1,-0.006,0.469,0.561,-0.01,0.928,0.972,5.15%,4.60%,-0.006
MEDICAL_RECORD.INSULIN_SUGAR_CONTROL,HISTORIA_MEDICA.INSULINA_CONTROL_AZUCAR,8,77,20,182,1,1,-1.785,0.00539,0.0076,-0.072,0.87,1,0.253,0.374,0.556,0.015,0.181,0.258,0.056,0.584,0.789,9.90%,9.41%,-0.005
MEDICAL_RECORD.AMPUTEE_BODY_DIABETES,HISTORIA_MEDICA.AMPUTADO_CUERPO_DIABETES,0,7,28,252,1,1,-4.659,0.0168,0.0223,-24.966,1,1,1.789,0.0381,0.103,0.003,0.929,0.955,-0.061,0.835,0.933,10.00%,0.00%,-0.1
MEDICAL_RECORD.LOSS_VISION_DIABETES,HISTORIA_MEDICA.VISTA_PERDIDA_DIABETES,0,8,28,251,1,1,-1.407,0.314,0.353,-30.918,1,1,1.057,0.154,0.305,-0.046,0.0846,0.136,-0.318,0.298,0.56,10.04%,0.00%,-0.1
MEDICAL_RECORD.MEDICATION_INFARCTION,HISTORIA_MEDICA.MEDICAMENTO_INFARTO,1,10,3,18,1,1,2.212,0.26,0.296,-0.268,0.841,1,0.449,0.631,0.781,-0.053,0.148,0.218,0.271,0.417,0.663,14.29%,9.09%,-0.052
MEDICAL_RECORD.HEART_FAILURE,HISTORIA_MEDICA.INSUFICIENCIA_CARDIACA,2,27,73,1021,1,1,-6.011,1.42E-13,7.93E-13,-0.332,0.66,1,-0.617,0.171,0.331,0.046,0.00089,0.00229,-0.309,0.0401,0.141,6.67%,6.90%,0.002
MEDICAL_RECORD.PALPITATIONS,HISTORIA_MEDICA.PALPITACIONES,4,63,71,985,1,1,-3.163,4.57E-14,2.74E-13,-0.182,0.734,1,0.092,0.734,0.851,0.008,0.331,0.424,0.039,0.686,0.856,6.72%,5.97%,-0.008
MEDICAL_RECORD.COL_HYPER_TREAT_OTHERS,HISTORIA_MEDICA.COL_HIPER_TRAT_OTROS,0,10,24,291,1,1,-6.034,0.000587,0.000938,-42.731,1,1,-0.066,0.926,0.977,0.045,0.104,0.161,-0.043,0.852,0.942,7.62%,0.00%,-0.076
MEDICAL_RECORD.METABOLIC_SYNDROME,HISTORIA_MEDICA.SINDROME_METABOLICO,0,9,75,1039,1,1,-5.651,0.00000135,0.00000302,-30.016,1,1,0.053,0.942,0.986,0.018,0.411,0.504,-0.006,0.98,0.997,6.73%,0.00%,-0.067
MEDICAL_RECORD.WEIGHT_LOW_CONSUMPTION_SODA,HISTORIA_MEDICA.PESO_BAJA_CONSUMO_REFRE,8,197,4,94,1,1,0.267,0.539,0.578,-0.198,0.755,1,-0.389,0.181,0.344,0.012,0.158,0.232,-0.009,0.93,0.973,4.08%,3.90%,-0.002
MEDICAL_RECORD.WEIGHT_DRINK_MORE_WATER,HISTORIA_MEDICA.PESO_TOMAR_MAS_AGUA,8,200,4,91,1,1,-0.085,0.847,0.872,-0.26,0.681,1,-0.191,0.523,0.703,0.02,0.0311,0.0585,0.077,0.449,0.683,4.21%,3.85%,-0.004
MEDICAL_RECORD.EPILEPSY,HISTORIA_MEDICA.EPILEPSIA,0,8,75,1032,1,1,-5.007,0.00000987,0.0000201,-21.005,1,1,0.349,0.637,0.786,-0.001,0.961,0.976,0.252,0.321,0.584,6.78%,0.00%,-0.068
MEDICAL_RECORD.BIPOLAR_DISEASE_PSYCHOSIS,HISTORIA_MEDICA.ENF_BIPOLAR_PSICOSIS,0,10,75,1033,1,1,-3.142,0.000741,0.00116,-15.044,0.995,1,0.084,0.905,0.966,-0.038,0.0835,0.135,0.278,0.251,0.508,6.77%,0.00%,-0.068
MEDICAL_RECORD.EMPHYSEMA,HISTORIA_MEDICA.ENFISEMA,2,27,73,1019,1,1,-4.679,9.09E-12,3.82E-11,-0.154,0.837,1,-0.877,0.0799,0.185,0.025,0.0464,0.0828,0.009,0.949,0.979,6.68%,6.90%,0.002
