feno,phenotype (spanish),case_v,case_nv,ctrl_v,ctrl_nv,fisher_pval,fisher_qval,Logitconst_beta,Logitconst_pval,Logitconst_qval,LogitEBVpres_beta,LogitEBVpres_pval,LogitEBVpres_qval,Logitsex_beta,Logitsex_pval,Logitsex_qval,Logitage_beta,Logitage_pval,Logitage_qval,Logitsocio_beta,Logitsocio_pval,Logitsocio_qval,Controls EBVpos,Cases EBVpos,Dif Cases-Controls
INBODY.BFM_PC__of_Trunk.above_453,INBODY.BFM_PC__of_Trunk.above_453,24,248,50,767,0.163,0.814,-1.614,4.78E-12,2.1E-11,0.32,0.222,1,0.022,0.887,0.954,0.01,0.0296,0.0559,0.032,0.559,0.769,6.12%,8.82%,0.027
ANTHROPOMETRY.MENSTRUAL_CYCLE_PREV_POST,ANTROPOMETRIA.PERIODO_MENSTRUAL_PREV_POST,1,52,46,585,0.165,0.816,0.076,0.86,0.883,-0.951,0.358,1,-13.286,0.993,1,-0.059,0.000000061,0.000000348,-0.015,0.909,0.966,7.29%,1.89%,-0.054
VISUAL_HEALTH.CATARACTS.3,SALUD_VISUAL.CATARATAS.3,6,48,69,1000,0.167,0.816,-8.778,1.08E-23,2.21E-22,0.126,0.794,1,0.054,0.86,0.93,0.098,1.38E-13,1.52E-12,-0.025,0.81,0.921,6.45%,11.11%,0.047
ANTHROPOMETRY.WAIST_CIRCUMFERENCE.above_90.65,ANTROPOMETRIA.CIRCUNFERENCIA_CINTURA.above_90·65,62,775,13,259,0.174,0.818,-0.363,0.0999,0.121,0.233,0.467,1,0.221,0.173,0.333,0.03,9.08E-11,7.49E-10,0.066,0.258,0.513,4.78%,7.41%,0.026
PERC_PHYSICAL.HAIR_COLOR.above_O,PERC_FISICA.COLOR_PELO.above_O,45,542,29,502,0.174,0.818,-0.292,0.142,0.168,0.35,0.17,1,1.025,4.02E-13,3.78E-12,0.002,0.609,0.692,-0.234,0.00000284,0.0000723,5.46%,7.67%,0.022
INBODY.BMR_Basal_Metabolic_Rate.above_1451,INBODY.BMR_Basal_Metabolic_Rate.above_1451,13,257,61,758,0.176,0.818,-0.886,0.00136,0.00206,-0.428,0.276,1,3.27,0,0,-0.035,0.00000000335,0.0000000228,0.262,0.000191,0.00235,7.45%,4.81%,-0.026
VISUAL_HEALTH.LENSES_CAUSES.4,SALUD_VISUAL.LENTES_CAUSAS.4,3,90,38,458,0.18,0.818,-1.157,0.00654,0.00916,-0.837,0.173,1,-0.171,0.511,0.692,-0.008,0.305,0.397,0.01,0.907,0.966,7.66%,3.23%,-0.044
ANTHROPOMETRY.WAIST_CIRCUMFERENCE.above_109.05,ANTROPOMETRIA.CIRCUNFERENCIA_CINTURA.above_109·05,24,252,51,782,0.181,0.818,-1.871,2.04E-15,1.48E-14,0.269,0.303,1,-0.055,0.718,0.839,0.015,0.000637,0.00168,0.05,0.357,0.618,6.12%,8.70%,0.026
INBODY.SMM_Skeletal_Muscle_Mass.above_27.8,INBODY.SMM_Skeletal_Muscle_Mass.above_27·8,13,256,61,759,0.182,0.818,-0.79,0.00429,0.00611,-0.4,0.308,1,3.302,0,0,-0.037,3.93E-10,0.00000000303,0.224,0.00138,0.0108,7.44%,4.83%,-0.026
INBODY.BFM_PC__of_Left_Arm.above_466.22,INBODY.BFM_PC__of_Left_Arm.above_466·22,24,251,50,764,0.182,0.818,-1.489,1.15E-10,4.25E-10,0.332,0.204,1,0.033,0.827,0.912,0.007,0.101,0.158,0.082,0.129,0.327,6.14%,8.73%,0.026
VISUAL_HEALTH.MACULAR_DEGENERATION.0,SALUD_VISUAL.DEGENERACION_MACULAR.0,73,1038,2,10,0.188,0.818,5.814,0.0000000373,0.000000105,-0.942,0.237,1,-0.772,0.189,0.351,-0.017,0.375,0.469,-0.114,0.593,0.795,16.67%,6.57%,-0.101
INBODY.FFM_PC__of_Left_Arm.above_116.4,INBODY.FFM_PC__of_Left_Arm.above_116·4,44,516,30,499,0.189,0.818,0.764,0.000516,0.000831,0.457,0.105,1,-2.264,1.28E-41,3.95E-40,-0.002,0.567,0.657,-0.029,0.586,0.79,5.67%,7.86%,0.022
DISEASE_FAMILY_MEMBERS.SIBLINGS_HYPERTENSION,ENFERMEDAD_FAMILIARES.HERMANOS_HIPERTENSION,19,190,54,808,0.193,0.818,-3.678,2.6E-32,1.57E-30,0.111,0.702,1,-0.592,0.00163,0.00659,0.046,1.17E-16,2.13E-15,0.192,0.00135,0.0107,6.26%,9.09%,0.028
MEDICAL_RECORD.MONTHS_INSULIN.above_1,HISTORIA_MEDICA.MESES_INSULINA.above_1,0,18,8,59,0.194,0.818,2.271,0.117,0.14,-32.548,1,1,-0.851,0.24,0.407,-0.058,0.0293,0.0554,0.103,0.625,0.812,11.94%,0.00%,-0.119
VISUAL_HEALTH.CATARACTS.2,SALUD_VISUAL.CATARATAS.2,3,20,72,1028,0.195,0.818,-7.981,1.66E-13,9.05E-13,0.357,0.582,1,-0.571,0.245,0.415,0.074,0.0000101,0.0000405,0.088,0.557,0.769,6.55%,13.04%,0.065
MEDICAL_RECORD.WEIGHT_INCREASE_FOOD_FIBER,HISTORIA_MEDICA.PESO_AUM_ALIM_FIBRA,7,218,5,73,0.195,0.818,0.593,0.206,0.238,-0.823,0.176,1,-0.125,0.693,0.828,0.011,0.27,0.361,0.128,0.242,0.501,6.41%,3.11%,-0.033
MEDICAL_RECORD.OSTEOARTHRITIS,HISTORIA_MEDICA.OSTEOARTRITIS,3,20,72,1026,0.195,0.818,-8.559,1.81E-13,9.72E-13,0.289,0.659,1,-1.528,0.0161,0.0495,0.086,0.00000129,0.000006,-0.016,0.916,0.97,6.56%,13.04%,0.065
INBODY.BMR_Basal_Metabolic_Rate.above_1302.5,INBODY.BMR_Basal_Metabolic_Rate.above_1302·5,31,511,43,504,0.199,0.818,0.395,0.0977,0.119,-0.268,0.403,1,3.597,0,0,-0.026,0.000000252,0.00000134,0.18,0.00309,0.0189,7.86%,5.72%,-0.021
CLINICAL_METABOLIC_TEST.TRIGLYCERIDES.above_98,METABOLICOS.TRIGLICERIDOS.above_98,61,775,14,273,0.201,0.818,-0.014,0.948,0.961,0.237,0.444,1,-0.192,0.204,0.365,0.024,0.0000000826,0.000000465,0.038,0.5,0.727,4.88%,7.30%,0.024
CLINICAL_METABOLIC_TEST.BLOOD_PRESSURE_DIA.above_81,METABOLICOS.TENSION_ARTERIAL_DIA.above_81,30,506,45,542,0.205,0.818,-0.972,0.000000839,0.00000196,-0.467,0.0604,1,0.406,0.00223,0.0087,0.016,0.0000286,0.0001,0.031,0.511,0.736,7.67%,5.60%,-0.021
MEDICAL_RECORD.FOAMY_URINE,HISTORIA_MEDICA.ORINA_ESPUMOSA,7,61,67,984,0.206,0.818,-3.186,2.5E-14,1.56E-13,0.465,0.272,1,0.277,0.295,0.474,0.006,0.423,0.516,-0.108,0.279,0.54,6.37%,10.29%,0.039
INBODY.BFM_Body_Fat_Mass.above_23,INBODY.BFM_Body_Fat_Mass.above_23,61,763,13,252,0.206,0.818,1.254,0.0000000633,0.000000172,0.42,0.194,1,-1.106,1.26E-13,1.19E-12,0.005,0.275,0.366,0.083,0.142,0.353,4.91%,7.40%,0.025
INBODY.BMI_Body_Mass_Index.above_26.4,INBODY.BMI_Body_Mass_Index.above_26·4,61,763,13,252,0.206,0.818,0.898,0.0000692,0.000126,0.372,0.242,1,-0.663,0.00000945,0.0000492,0.009,0.048,0.0852,0.063,0.262,0.519,4.91%,7.40%,0.025
INBODY.Protein.above_8.5,INBODY.Protein.above_8·5,30,496,44,519,0.206,0.818,0.405,0.0905,0.11,-0.25,0.438,1,3.532,0,0,-0.028,0.0000000368,0.000000223,0.184,0.0026,0.0171,7.82%,5.70%,-0.021
REPRODUCTIVE_HEALTH.WEIGHT_FIRST_CHILD.above_3,SALUD_REPRODUCTIVA.PESO_PRIMER_HIJO.above_3,24,237,29,428,0.209,0.818,-0.873,0.000925,0.00144,0.37,0.202,1,,,,0.006,0.262,0.352,0.03,0.634,0.813,6.35%,9.20%,0.028
VISUAL_HEALTH.LENSES_CAUSES.3,SALUD_VISUAL.LENTES_CAUSAS.3,13,120,28,428,0.209,0.818,-4.461,3.87E-17,3.67E-16,0.119,0.748,1,-0.528,0.0268,0.0753,0.059,4.41E-11,3.77E-10,0.105,0.174,0.405,6.14%,9.77%,0.036
REPRODUCTIVE_HEALTH.PATTERN_BALDNESS.above_3,SALUD_REPRODUCTIVA.PATRON_CALVICIE.above_3,3,22,19,296,0.213,0.818,-6.812,0.0000000143,0.0000000428,0.402,0.563,1,,,,0.071,0.0000908,0.000283,0.042,0.779,0.909,6.03%,12.00%,0.06
INBODY.WHR_Waist_Hip_Ratio.above_1.01,INBODY.WHR_Waist_Hip_Ratio.above_1·01,21,218,53,797,0.215,0.818,-1.739,5.35E-12,2.33E-11,0.261,0.349,1,-1.222,0.00000000131,0.00000000965,0.015,0.00223,0.00531,-0.004,0.942,0.976,6.24%,8.79%,0.026
REPRODUCTIVE_HEALTH.PREGNANCY_URINARY_INFECTION,SALUD_REPRODUCTIVA.EMBARAZO_INFECCION_URINARIA,7,139,46,527,0.216,0.818,1.076,0.000654,0.00103,-0.171,0.694,1,,,,-0.055,3.91E-14,4.53E-13,0.103,0.221,0.472,8.03%,4.79%,-0.032
MEDICAL_RECORD.POLLAKIURIA,HISTORIA_MEDICA.POLAQUIURIA,17,172,58,875,0.217,0.818,-2.826,3.45E-23,6.37E-22,0.242,0.41,1,0.241,0.158,0.312,0.022,0.00002,0.0000731,0.009,0.885,0.959,6.22%,8.99%,0.028
INBODY.FFM_PC__of_Right_Leg.above_80.6,INBODY.FFM_PC__of_Right_Leg.above_80·6,50,759,24,256,0.218,0.818,3.894,2.08E-38,2.17E-36,0.07,0.801,1,0.574,0.000821,0.00348,-0.058,3E-26,1.38E-24,0.086,0.134,0.337,8.57%,6.18%,-0.024
REPRODUCTIVE_HEALTH.PREGNANCY_INF_SEXUALLY_TRANS,SALUD_REPRODUCTIVA.EMBARAZO_INFECC_TRANS_SEX,2,10,51,656,0.219,0.818,-3.203,0.000597,0.00095,1.149,0.154,1,,,,-0.022,0.268,0.36,0.145,0.558,0.769,7.21%,16.67%,0.095
INBODY.BMI.above_26.4,INBODY.IMC.above_26·4,60,761,13,252,0.224,0.827,0.897,0.0000704,0.000128,0.36,0.258,1,-0.652,0.0000133,0.0000688,0.009,0.0506,0.0892,0.063,0.264,0.52,4.91%,7.31%,0.024
PERC_PHYSICAL.LEFT_RIGHT.X,PERC_FISICA.ZURDO_DERECHO.X,2,73,73,975,0.227,0.827,-3.465,8.72E-17,7.7E-16,-1.128,0.122,1,-0.129,0.627,0.778,0.018,0.0194,0.0385,0.094,0.294,0.556,6.97%,2.67%,-0.043
MEDICAL_RECORD.CARDIOVASCULAR_HYPERTENSION,HISTORIA_MEDICA.CARDIOVASCULAR_HIPERTENSION,27,301,48,747,0.227,0.827,-3.84,5.48E-42,1.26E-39,-0.06,0.823,1,-0.244,0.12,0.25,0.059,4.15E-30,2.64E-28,-0.017,0.753,0.895,6.04%,8.23%,0.022
DISEASE_FAMILY_MEMBERS.MOTHER_CANCER,ENFERMEDAD_FAMILIARES.MADRE_CANCER,11,99,63,914,0.229,0.828,-2.716,1.3E-15,9.67E-15,0.383,0.271,1,-0.428,0.0715,0.17,0.012,0.055,0.0954,0.02,0.8,0.918,6.45%,10.00%,0.036
INBODY.FFM_of_Right_Leg.above_7.31,INBODY.FFM_of_Right_Leg.above_7·31,13,248,61,767,0.232,0.829,-0.562,0.0461,0.0583,-0.285,0.474,1,3.441,0,0,-0.045,4.8E-13,5E-12,0.249,0.000557,0.00542,7.37%,4.98%,-0.024
HEARING_HEALTH.LOUD_MUSIC.above_3,SALUD_AUDITIVA.MUSICA_ALTA.above_3,8,70,67,978,0.233,0.829,-2.19,0.00000000308,0.00000000979,0.701,0.0846,1,0.373,0.134,0.274,-0.015,0.0448,0.0806,0.348,0.0000997,0.00138,6.41%,10.26%,0.038
REPRODUCTIVE_HEALTH.CESAREAN_SECTIONS.above_3,SALUD_REPRODUCTIVA.CESAREAS.above_3,3,22,50,708,0.236,0.832,-4.005,0.00000000696,0.0000000217,0.583,0.363,1,,,,0.011,0.405,0.498,0.034,0.835,0.933,6.60%,12.00%,0.054
MEDICAL_RECORD.ULCERS_FEET_DIABETES,HISTORIA_MEDICA.ULCERAS_PIES_DIABETES,0,21,28,238,0.241,0.835,-4.146,0.000829,0.00129,-42.933,1,1,0.46,0.333,0.521,0.026,0.211,0.294,-0.16,0.379,0.637,10.53%,0.00%,-0.105
INBODY.TBW_Total_Body_Water.above_31.7,INBODY.TBW_Total_Body_Water.above_31·7,31,504,43,511,0.242,0.835,0.247,0.3,0.339,-0.244,0.445,1,3.557,0,0,-0.023,0.0000027,0.0000119,0.18,0.0031,0.0189,7.76%,5.79%,-0.02
INBODY.SMM_Skeletal_Muscle_Mass.above_23.6,INBODY.SMM_Skeletal_Muscle_Mass.above_23·6,31,504,43,511,0.242,0.835,0.503,0.0356,0.0456,-0.197,0.537,1,3.582,0,0,-0.029,0.00000000961,0.0000000619,0.179,0.00345,0.0207,7.76%,5.79%,-0.02
MEDICAL_RECORD.LYMPHADENOPATHIES,HISTORIA_MEDICA.LINFADENOPATIAS,1,48,74,995,0.248,0.843,-1.565,0.00032,0.000532,-0.996,0.331,1,-0.465,0.202,0.365,-0.031,0.00145,0.00359,0.149,0.205,0.449,6.92%,2.04%,-0.049
HEARING_HEALTH.DENTAL_PAIN_SENSITIVITY.above_1,SALUD_DENTAL.SENSIBILIDAD_DOLOR_DENTAL.above_1,1,50,74,998,0.249,0.843,-2.467,0.0000000227,0.0000000655,-1.229,0.228,1,-0.322,0.343,0.525,-0.01,0.293,0.384,0.043,0.703,0.865,6.90%,1.96%,-0.049
PERC_PHYSICAL.SKIN_COLOR.above_O,PERC_FISICA.COLOR_PIEL.above_O,3,23,72,1022,0.25,0.843,-2.117,0.000158,0.000276,1.042,0.11,1,0.365,0.39,0.57,-0.042,0.00145,0.00359,-0.432,0.0166,0.0694,6.58%,11.54%,0.05
MEDICAL_RECORD.PUSTULES,HISTORIA_MEDICA.PUSTULAS,1,53,73,995,0.254,0.846,-2.084,0.00000053,0.00000129,-1.196,0.241,1,0.132,0.664,0.806,-0.019,0.0301,0.0566,-0.088,0.442,0.677,6.84%,1.85%,-0.05
INBODY.FFM_of_Right_Leg.above_6.11,INBODY.FFM_of_Right_Leg.above_6·11,30,488,44,527,0.257,0.846,0.699,0.00371,0.00533,-0.143,0.655,1,3.492,0,0,-0.035,1.09E-11,1.01E-10,0.15,0.0142,0.0614,7.71%,5.79%,-0.019
PERC_PHYSICAL.LEFT_RIGHT.Z,PERC_FISICA.ZURDO_DERECHO.Z,6,49,69,999,0.259,0.846,-2.711,4.75E-10,0.00000000164,0.626,0.17,1,0.063,0.835,0.919,-0.007,0.442,0.534,-0.034,0.756,0.895,6.46%,10.91%,0.044
MEDICAL_RECORD.TRANSF_BLOOD_ANT_1995,HISTORIA_MEDICA.TRANSF_SANGRE_ANT_1995,6,49,69,997,0.259,0.846,-5.368,7.37E-20,9.39E-19,0.319,0.492,1,-1.226,0.00195,0.00774,0.049,0.000000939,0.00000451,0.219,0.0306,0.112,6.47%,10.91%,0.044
INBODY.FFM_PC__of_Right_Leg.above_90.1,INBODY.FFM_PC__of_Right_Leg.above_90·1,14,259,60,756,0.26,0.846,0.607,0.007,0.00977,-0.02,0.951,1,0.762,0.00000118,0.00000662,-0.042,6.28E-18,1.33E-16,0.006,0.921,0.97,7.35%,5.13%,-0.022
INBODY.BFM_PC__of_Right_Leg.above_268.25,INBODY.BFM_PC__of_Right_Leg.above_268·25,23,249,51,766,0.264,0.848,-1.398,0.00000000128,0.00000000424,0.3,0.256,1,0.04,0.795,0.892,0.005,0.249,0.336,0.094,0.0842,0.243,6.24%,8.46%,0.022
MEDICAL_RECORD.FATTY_LIVER,HISTORIA_MEDICA.HIGADO_GRASO,8,77,67,968,0.265,0.848,-3.831,4.51E-20,6.09E-19,0.246,0.536,1,-0.293,0.255,0.426,0.027,0.000376,0.00103,0.159,0.0594,0.189,6.47%,9.41%,0.029
INBODY.PBF_Percent_Body_Fat.above_48,INBODY.PBF_Percent_Body_Fat.above_48,23,250,51,765,0.273,0.867,-1.447,0.00000000769,0.0000000236,0.247,0.39,1,-3.017,5.09E-18,6.02E-17,0.016,0.000846,0.0022,0.049,0.413,0.66,6.25%,8.42%,0.022
INBODY.BFM_PC__of_Left_Leg.above_266.3,INBODY.BFM_PC__of_Left_Leg.above_266·3,23,251,51,764,0.282,0.889,-1.391,0.00000000139,0.00000000458,0.287,0.277,1,0.049,0.75,0.859,0.005,0.243,0.33,0.084,0.122,0.317,6.26%,8.39%,0.021
MEDICAL_RECORD.EXERCISE_INTOLERANCE,HISTORIA_MEDICA.INTOLERANCIA_EJERCICIO,6,54,69,994,0.284,0.89,-2.91,1.41E-11,5.71E-11,0.435,0.339,1,-0.293,0.342,0.525,0.002,0.851,0.9,-0.152,0.161,0.383,6.49%,10.00%,0.035
VISUAL_HEALTH.CATARACTS.0,SALUD_VISUAL.CATARATAS.0,66,960,9,88,0.286,0.89,8.121,3.54E-34,2.54E-32,0.081,0.842,1,-0.177,0.459,0.641,-0.099,1.23E-21,3.8E-20,-0.069,0.397,0.647,9.28%,6.43%,-0.028
HEARING_HEALTH.LISTEN_NOISES.above_2,SALUD_AUDITIVA.ESCUCHAR_RUIDOS.above_2,2,14,73,1034,0.29,0.898,-8.621,4.97E-11,1.9E-10,0.317,0.686,1,-0.298,0.591,0.757,0.077,0.000128,0.000388,0.234,0.172,0.401,6.59%,12.50%,0.059
INBODY.BFM_of_Left_Arm.above_3.5,INBODY.BFM_of_Left_Arm.above_3·5,22,240,52,775,0.298,0.915,-1.209,0.000000383,0.00000095,0.311,0.256,1,-1.182,7.31E-10,0.00000000553,0.006,0.201,0.282,0.155,0.00623,0.0326,6.29%,8.40%,0.021
INBODY.FFM_PC__of_Left_Leg.above_89.8,INBODY.FFM_PC__of_Left_Leg.above_89·8,14,254,60,761,0.3,0.915,0.635,0.00518,0.00731,0.024,0.94,1,0.863,0.0000000478,0.000000318,-0.044,5.87E-19,1.35E-17,-0.02,0.736,0.885,7.31%,5.22%,-0.021
MEDICAL_RECORD.LACTASE_DEFICIENCY,HISTORIA_MEDICA.DEF_LACTASA,4,100,71,946,0.302,0.916,-2.239,1.79E-11,7.2E-11,-0.603,0.254,1,-0.413,0.0912,0.202,0.001,0.871,0.913,0.21,0.00751,0.0368,6.98%,3.85%,-0.031
MEDICAL_RECORD.CANCER,HISTORIA_MEDICA.CANCER,4,33,71,1010,0.306,0.92,-5.474,2.49E-15,1.78E-14,0.249,0.653,1,-1.274,0.00964,0.0322,0.044,0.00019,0.000552,0.006,0.963,0.988,6.57%,10.81%,0.042
INBODY.BFM_of_Right_Arm.above_3.5,INBODY.BFM_of_Right_Arm.above_3·5,22,241,52,774,0.307,0.92,-1.181,0.000000691,0.00000165,0.311,0.256,1,-1.225,2.57E-10,0.00000000202,0.006,0.228,0.313,0.163,0.00413,0.0241,6.30%,8.37%,0.021
MEDICAL_RECORD.DIS_GASTRIC_COLITIS,HISTORIA_MEDICA.ENF_GASTRO_COLITIS,13,242,62,804,0.31,0.922,-0.689,0.00284,0.00415,-0.319,0.32,1,-1.212,6.99E-10,0.00000000533,-0.005,0.262,0.353,0.114,0.0478,0.161,7.16%,5.10%,-0.021
CLINICAL_METABOLIC_TEST.HEART_RATE.above_77,METABOLICOS.LATIDOS_POR_MIN.above_77,10,147,6,157,0.312,0.923,0.897,0.0138,0.0186,0.719,0.184,1,-0.466,0.0799,0.185,-0.02,0.0162,0.0327,0.037,0.702,0.865,3.68%,6.37%,0.027
INBODY.Minerals.above_2.97,INBODY.Minerals.above_2·97,32,507,42,508,0.32,0.929,0.526,0.0224,0.0293,-0.125,0.675,1,3.022,0,0,-0.027,0.0000000167,0.000000105,0.101,0.0806,0.236,7.64%,5.94%,-0.017
REPRODUCTIVE_HEALTH.PREV_RUPTURE_MEMBRANES,SALUD_REPRODUCTIVA.RUPTURA_PRE_MEMB,4,32,48,630,0.324,0.929,-3.807,8.31E-10,0.00000000281,0.379,0.497,1,,,,0.017,0.147,0.218,-0.02,0.881,0.959,7.08%,11.11%,0.04
MEDICAL_RECORD.OBESITY_CURRENTLY,HISTORIA_MEDICA.OBESIDAD_ACTUALMENTE,19,277,8,71,0.325,0.929,2.642,0.000000519,0.00000127,-0.285,0.535,1,-0.188,0.546,0.724,-0.026,0.0103,0.0217,0.292,0.0119,0.0534,10.13%,6.42%,-0.037
PAINS.HIP_PAIN_3M,DOLORES.DOLOR_CADERA_3M,12,120,63,924,0.326,0.929,-3.205,6.5E-22,1.05E-20,0.217,0.516,1,0.095,0.634,0.783,0.022,0.000219,0.000632,-0.024,0.736,0.885,6.38%,9.09%,0.027
MEDICAL_RECORD.PETS,HISTORIA_MEDICA.ANIMALES_DOMESTICOS,41,640,34,408,0.33,0.929,0.484,0.0146,0.0196,-0.251,0.305,1,-0.265,0.0487,0.125,0.001,0.852,0.9,0.222,0.00000916,0.00021,7.69%,6.02%,-0.017
INBODY.FFM_PC__of_Right_Arm.above_118.15,INBODY.FFM_PC__of_Right_Arm.above_118·15,43,523,31,492,0.33,0.929,0.772,0.000431,0.000703,0.334,0.231,1,-2.194,9.87E-41,2.97E-39,-0.002,0.626,0.707,-0.079,0.138,0.344,5.93%,7.60%,0.017
MENTAL_HEALTH.FAM_HIST_NEUROMENTAL_DIS,SALUD_MENTAL.HISTFAM_ENF_NEURO_MENTAL,5,112,70,929,0.331,0.929,-1.737,0.0000000191,0.0000000562,-0.426,0.373,1,-0.394,0.0902,0.201,-0.007,0.247,0.335,0.244,0.00123,0.01,7.01%,4.27%,-0.027
MEDICAL_RECORD.PNEUMONIA,HISTORIA_MEDICA.NEUMONIA,4,36,71,1012,0.335,0.929,-4.548,2.05E-14,1.28E-13,0.315,0.566,1,-0.535,0.169,0.329,0.026,0.0152,0.0307,0.189,0.11,0.295,6.56%,10.00%,0.034
CLINICAL_METABOLIC_TEST.CHOLESTEROL.above_131,METABOLICOS.COLESTEROL.above_131,60,778,15,269,0.338,0.929,-0.005,0.983,0.991,0.112,0.713,1,-0.429,0.00427,0.0158,0.026,0.00000000922,0.0000000601,0.011,0.845,0.939,5.28%,7.16%,0.019
MEDICAL_RECORD.PRE_DIABETES_AGE.above_38.5,HISTORIA_MEDICA.PRE_DIABETES_EDAD.above_38·5,3,51,3,18,0.34,0.929,-24.682,0.00271,0.00397,-1.933,0.663,1,-6.389,0.00822,0.028,0.551,0.0019,0.00454,1.935,0.0274,0.103,14.29%,5.56%,-0.087
CLINICAL_METABOLIC_TEST.BLOOD_GLUCOSE.above_145,METABOLICOS.GLUCOSA.above_145,22,249,53,799,0.342,0.929,-2.853,3.85E-28,1.58E-26,0.045,0.867,1,0.141,0.359,0.541,0.033,6.96E-12,6.65E-11,-0.071,0.199,0.443,6.22%,8.12%,0.019
HEARING_HEALTH.MOBILITY_TOOTH,SALUD_DENTAL.MOVILIDAD_DIENTES,22,248,53,795,0.344,0.929,-1.862,2.8E-15,1.96E-14,0.178,0.507,1,0.272,0.0716,0.17,0.012,0.00557,0.0125,-0.165,0.0035,0.0209,6.25%,8.15%,0.019
REPRODUCTIVE_HEALTH.MENOPAUSE_HORMONAL_THERAPY_HRT,SALUD_REPRODUCTIVA.MENOPAUSIA_TERAPIA_HORMONAL_HRT,2,11,33,330,0.345,0.929,-3.203,0.0876,0.108,0.855,0.293,1,,,,-0.006,0.85,0.9,0.399,0.0495,0.165,9.09%,15.38%,0.063
REPRODUCTIVE_HEALTH.GONORRHEA,SALUD_REPRODUCTIVA.GONORREA,1,8,0,17,0.346,0.929,-19.667,0.994,1,28.755,1,1,17.287,0.995,1,0.044,0.178,0.255,-0.458,0.308,0.569,0.00%,11.11%,0.111
MEDICAL_RECORD.BLOOD_TRANSFUSIONS,HISTORIA_MEDICA.TRANSFUSIONES_SANG,7,70,68,976,0.347,0.929,-2.926,1.96E-13,1.05E-12,0.269,0.524,1,-0.851,0.00674,0.024,0.01,0.186,0.264,-0.051,0.59,0.793,6.51%,9.09%,0.026
MEDICAL_RECORD.TYPE2_DIABETES_AGE.above_40,HISTORIA_MEDICA.DIABETES_TIPO2_EDAD.above_40,11,95,2,42,0.347,0.929,-4.568,0.000233,0.000393,0.646,0.437,1,-0.265,0.543,0.723,0.097,0.0000172,0.0000645,0.168,0.32,0.584,4.55%,10.38%,0.058
REPRODUCTIVE_HEALTH.WEIGHT_FIRST_CHILD.above_4,SALUD_REPRODUCTIVA.PESO_PRIMER_HIJO.above_4,1,37,52,628,0.351,0.931,-4.558,3.01E-12,1.39E-11,-1.388,0.178,1,,,,0.033,0.00386,0.00885,-0.147,0.269,0.528,7.65%,2.63%,-0.05
INBODY.PBF_Percent_Body_Fat.above_34.6,INBODY.PBF_Percent_Body_Fat.above_34·6,60,767,14,248,0.352,0.931,1.305,0.00000088,0.00000204,0.256,0.476,1,-2.828,0,0,0.022,0.0000558,0.00018,0.026,0.688,0.858,5.34%,7.26%,0.019
INBODY.InBody_Score.above_55,INBODY.InBody_Score.above_55,51,756,23,259,0.359,0.938,1.322,0.0000000116,0.000000035,-0.216,0.418,1,0.834,0.00000113,0.00000641,-0.009,0.0367,0.0679,-0.072,0.185,0.422,8.16%,6.32%,-0.018
PERC_PHYSICAL.MOTHER_SMOKE,PERC_FISICA.MADRE_FUMABA,11,108,63,902,0.36,0.938,-2.673,3.16E-16,2.48E-15,0.284,0.412,1,0.018,0.932,0.981,0.011,0.0725,0.121,-0.053,0.485,0.715,6.53%,9.24%,0.027
DISEASE_FAMILY_MEMBERS.FATHER_INFARCTION,ENFERMEDAD_FAMILIARES.PADRE_INFARTO,13,138,55,828,0.361,0.938,-2.246,3.72E-14,2.28E-13,0.303,0.35,1,-0.263,0.193,0.356,0.011,0.0632,0.107,0.081,0.232,0.489,6.23%,8.61%,0.024
INBODY.BFM_of_Left_Leg.above_3.2,INBODY.BFM_of_Left_Leg.above_3·2,58,739,16,276,0.364,0.938,1.244,0.0000000549,0.000000151,0.29,0.342,1,-1.358,2.11E-20,3.04E-19,0.005,0.303,0.395,0.059,0.293,0.554,5.48%,7.28%,0.018
MEDICAL_RECORD.WEIGHT_INCREASE_PHYSICAL_ACT,HISTORIA_MEDICA.PESO_AUM_ACT_FISICA,5,173,6,119,0.37,0.938,1.476,0.000846,0.00132,-0.27,0.666,1,0.469,0.12,0.25,-0.026,0.00334,0.00775,0.001,0.996,1,4.80%,2.81%,-0.02
MEDICAL_RECORD.PRURITUS,HISTORIA_MEDICA.PRURITO,10,99,65,947,0.373,0.938,-2.257,6.09E-12,2.6E-11,0.357,0.321,1,-0.43,0.0732,0.173,0.002,0.705,0.776,-0.041,0.611,0.806,6.42%,9.17%,0.028
REPRODUCTIVE_HEALTH.MENARCHE.above_12,SALUD_REPRODUCTIVA.MENARCA.above_12,21,347,31,379,0.373,0.938,-0.799,0.000668,0.00105,-0.474,0.112,1,,,,0.015,0.00107,0.00269,-0.103,0.0829,0.24,7.56%,5.71%,-0.019
CLINICAL_METABOLIC_TEST.CHOLESTEROL.above_186,METABOLICOS.COLESTEROL.above_186,23,265,52,782,0.374,0.938,-2.051,6.89E-18,7.06E-17,0.114,0.666,1,-0.479,0.00265,0.0102,0.022,0.000000916,0.00000441,0.095,0.0759,0.226,6.24%,7.99%,0.018
