run	pop	proportion
_0	MX-AMR	0.579936
_0	EAS	0.045007
_0	SAS	0.025661
_0	AFR	0.044709
_0	EUR	0.670428
_0	MX-AMR	0.2376
_0	EAS	0.026017
_0	SAS	0.021246
_0	AFR	0.032671
_0	EUR	0.124784
_0	MX-AMR	0.764278
_0	EAS	0.049752
_0	SAS	0.028514
_0	AFR	0.038406
_0	EUR	0.376969
_0	MX-AMR	0.513895
_0	EAS	0.04679
_0	SAS	0.023941
_0	AFR	0.103427
_0	EUR	0.298325
_0	MX-AMR	0.540627
_0	EAS	0.03516
_0	SAS	0.02246
_0	AFR	0.029097
_0	EUR	0.15426
_0	MX-AMR	0.739177
_0	EAS	0.049268
_0	SAS	0.028198
_0	AFR	0.037073
_0	EUR	0.343567
_0	MX-AMR	0.55028
_0	EAS	0.041018
_0	SAS	0.028062
_0	AFR	0.030987
_0	EUR	0.339113
_0	MX-AMR	0.5597
_0	EAS	0.040231
_0	SAS	0.029969
_0	AFR	0.052348
_0	EUR	0.306965
_0	MX-AMR	0.580845
_0	EAS	0.03361
_0	SAS	0.026231
_0	AFR	0.090942
_0	EUR	0.227083
_0	MX-AMR	0.609937
_0	EAS	0.0365
_0	SAS	0.035537
_0	AFR	0.057814
_0	EUR	0.2652
_0	MX-AMR	0.602196
_0	EAS	0.045295
_0	SAS	0.029494
_0	AFR	0.081691
_0	EUR	0.318233
_0	MX-AMR	0.531634
_0	EAS	0.045286
_0	SAS	0.023157
_0	AFR	0.044293
_0	EUR	0.391491
_0	MX-AMR	0.505175
_0	EAS	0.039839
_0	SAS	0.019203
_0	AFR	0.075338
_0	EUR	0.31035
_0	MX-AMR	0.550095
_0	EAS	0.038781
_0	SAS	0.025435
_0	AFR	0.066626
_0	EUR	0.400764
_0	MX-AMR	0.457394
_0	EAS	0.042836
_0	SAS	0.032379
_0	AFR	0.071016
_0	EUR	0.36671
_0	MX-AMR	0.497474
_0	EAS	0.042245
_0	SAS	0.022555
_0	AFR	0.047791
_0	EUR	0.424003
_0	MX-AMR	0.467139
_0	EAS	0.036827
_0	SAS	0.02424
_0	AFR	0.066058
_0	EUR	0.332123
_0	MX-AMR	0.547228
_0	EAS	0.029242
_0	SAS	0.025349
_0	AFR	0.171206
_0	EUR	0.230946
_0	MX-AMR	0.54173
_0	EAS	0.029376
_0	SAS	0.026742
_0	AFR	0.081671
_0	EUR	0.389214
_0	MX-AMR	0.467935
_0	EAS	0.034328
_0	SAS	0.026852
_0	AFR	0.072103
_0	EUR	0.225302
_0	MX-AMR	0.642428
_0	EAS	0.032014
_0	SAS	0.028153
_0	AFR	0.094889
_0	EUR	0.428918
_0	MX-AMR	0.398177
_0	EAS	0.046187
_0	SAS	0.031829
_0	AFR	0.058819
_0	EUR	0.234298
_0	MX-AMR	0.622951
_0	EAS	0.04946
_0	SAS	0.034472
_0	AFR	0.065121
_0	EUR	0.261264
_0	MX-AMR	0.592483
_0	EAS	0.058351
_0	SAS	0.022782
_0	AFR	0.043111
_0	EUR	0.193753
_0	MX-AMR	0.696487
_0	EAS	0.039469
_0	SAS	0.02718
_0	AFR	0.06365
_0	EUR	0.431006
_0	MX-AMR	0.447211
_0	EAS	0.038445
_0	SAS	0.019689
_0	AFR	0.077366
_0	EUR	0.294791
_0	MX-AMR	0.551399
_0	EAS	0.048003
_0	SAS	0.02844
_0	AFR	0.059927
_0	EUR	0.382094
_0	MX-AMR	0.503805
_0	EAS	0.041964
_0	SAS	0.012209
_0	AFR	0.030913
_0	EUR	0.141186
_0	MX-AMR	0.757782
_0	EAS	0.048534
_0	SAS	0.021585
_0	AFR	0.061189
_0	EUR	0.456562
_0	MX-AMR	0.418178
_0	EAS	0.032091
_0	SAS	0.031981
_0	AFR	0.073251
_0	EUR	0.501669
_0	MX-AMR	0.365416
_0	EAS	0.034091
_0	SAS	0.025573
_0	AFR	0.091799
_0	EUR	0.297076
_0	MX-AMR	0.542125
_0	EAS	0.034372
_0	SAS	0.034628
_0	AFR	0.074365
_0	EUR	0.245033
_0	MX-AMR	0.602719
_0	EAS	0.054585
_0	SAS	0.023298
_0	AFR	0.06772
_0	EUR	0.4614
_0	MX-AMR	0.414837
_0	EAS	0.027274
_0	SAS	0.028769
_0	AFR	0.057059
_0	EUR	0.235771
_0	MX-AMR	0.629089
_0	EAS	0.047913
_0	SAS	0.030168
_0	AFR	0.091355
_0	EUR	0.259168
_0	MX-AMR	0.571479
_0	EAS	0.049835
_0	SAS	0.028163
_0	AFR	0.04308
_0	EUR	0.247345
_0	MX-AMR	0.640441
_0	EAS	0.046555
_0	SAS	0.022579
_0	AFR	0.059052
_0	EUR	0.277506
_0	MX-AMR	0.603872
_0	EAS	0.036901
_0	SAS	0.022668
_0	AFR	0.05548
_0	EUR	0.369676
_0	MX-AMR	0.511831
_0	EAS	0.041687
_0	SAS	0.021326
_0	AFR	0.095043
_0	EUR	0.37979
_0	MX-AMR	0.456844
_0	EAS	0.037128
_0	SAS	0.031196
_0	AFR	0.070856
_0	EUR	0.465068
_0	MX-AMR	0.414092
_0	EAS	0.030019
_0	SAS	0.019965
_0	AFR	0.055055
_0	EUR	0.546829
_0	MX-AMR	0.34293
_0	EAS	0.027856
_0	SAS	0.027331
_0	AFR	0.064081
_0	EUR	0.378735
_0	MX-AMR	0.491788
_0	EAS	0.041036
_0	SAS	0.024361
_0	AFR	0.095283
_0	EUR	0.267281
_0	MX-AMR	0.570114
_0	EAS	0.049869
_0	SAS	0.017453
_0	AFR	0.066637
_0	EUR	0.431219
_0	MX-AMR	0.435661
_0	EAS	0.030643
_0	SAS	0.03584
_0	AFR	0.044802
_0	EUR	0.482598
_0	MX-AMR	0.412064
_0	EAS	0.02834
_0	SAS	0.032196
_0	AFR	0.074507
_0	EUR	0.297692
_0	MX-AMR	0.550965
_0	EAS	0.048274
_0	SAS	0.028561
_0	AFR	0.049606
_0	EUR	0.419
_0	MX-AMR	0.473259
_0	EAS	0.042923
_0	SAS	0.015213
_0	AFR	0.033016
_0	EUR	0.305
_0	MX-AMR	0.58293
_0	EAS	0.05088
_0	SAS	0.028174
_0	AFR	0.049885
_0	EUR	0.273463
_0	MX-AMR	0.599948
_0	EAS	0.046261
_0	SAS	0.030444
_0	AFR	0.05637
_0	EUR	0.289532
_0	MX-AMR	0.586442
_0	EAS	0.0399
_0	SAS	0.027757
_0	AFR	0.063231
_0	EUR	0.26952
_0	MX-AMR	0.605347
_0	EAS	0.045299
_0	SAS	0.016603
_0	AFR	0.053298
_0	EUR	0.316099
_0	MX-AMR	0.55416
_0	EAS	0.037433
_0	SAS	0.039009
_0	AFR	0.045977
_0	EUR	0.219629
_0	MX-AMR	0.657404
_0	EAS	0.045192
_0	SAS	0.031798
_0	AFR	0.047771
